subject,id,trial,stream,freq,amp,conj
1,AE01,1,eyelink,0.2,-9,-0.666876974393505
1,AE01,1,adhawk,0.2,-9,-1.11828542409383
1,AE01,1,target,0.2,-9,0
1,AE01,2,eyelink,0.1,-9,0.139050356371369
1,AE01,2,adhawk,0.1,-9,-1.32068666949787
1,AE01,2,target,0.1,-9,0
1,AE01,3,eyelink,0.1,-9,0.0951781567956436
1,AE01,3,adhawk,0.1,-9,-1.19093080458072
1,AE01,3,target,0.1,-9,0
1,AE01,4,eyelink,0.2,9,-0.212421316259456
1,AE01,4,adhawk,0.2,9,-9.07067686457895
1,AE01,4,target,0.2,9,0
1,AE01,5,eyelink,0.01,9,0.110597804520629
1,AE01,5,adhawk,0.01,9,-1.17380421680245
1,AE01,5,target,0.01,9,0
1,AE01,6,eyelink,0.1,9,0.357671898852015
1,AE01,6,adhawk,0.1,9,-5.56691536271671
1,AE01,6,target,0.1,9,0
1,AE01,7,eyelink,0.01,-9,0.132582851184832
1,AE01,7,adhawk,0.01,-9,0.0933062906200907
1,AE01,7,target,0.01,-9,0
1,AE01,8,eyelink,0.2,9,0.19612757470336
1,AE01,8,adhawk,0.2,9,-10.6817202847706
1,AE01,8,target,0.2,9,0
1,AE01,9,eyelink,0.1,9,0.114008770642951
1,AE01,9,adhawk,0.1,9,-5.07702233008506
1,AE01,9,target,0.1,9,0
1,AE01,10,eyelink,0.01,9,0.239082801946306
1,AE01,10,adhawk,0.01,9,0.358452907625201
1,AE01,10,target,0.01,9,0
1,AE01,11,eyelink,0.01,-9,0.0180200212522542
1,AE01,11,adhawk,0.01,-9,-0.618426857098949
1,AE01,11,target,0.01,-9,0
1,AE01,12,eyelink,0.2,9,-0.203308872324864
1,AE01,12,adhawk,0.2,9,-14.2159400882671
1,AE01,12,target,0.2,9,0
1,AE01,13,eyelink,0.01,9,0.22364097680682
1,AE01,13,adhawk,0.01,9,0.171172305910403
1,AE01,13,target,0.01,9,0
1,AE01,14,eyelink,0.2,-9,-0.184723006105464
1,AE01,14,adhawk,0.2,-9,-3.94394805952708
1,AE01,14,target,0.2,-9,0
1,AE01,15,eyelink,0.1,9,0.181103945417225
1,AE01,15,adhawk,0.1,9,0.314496603200221
1,AE01,15,target,0.1,9,0
1,AE01,16,eyelink,0.2,9,-0.0694778114574484
1,AE01,16,adhawk,0.2,9,6.20221052298211
1,AE01,16,target,0.2,9,0
1,AE01,17,eyelink,0.1,9,-0.202096535680686
1,AE01,17,adhawk,0.1,9,-10.9295995883614
1,AE01,17,target,0.1,9,0
1,AE01,18,eyelink,0.1,9,-0.0203412337574104
1,AE01,18,adhawk,0.1,9,1.17798702172338
1,AE01,18,target,0.1,9,0
1,AE01,19,eyelink,0.2,-9,-0.210905595688388
1,AE01,19,adhawk,0.2,-9,4.55882584027498
1,AE01,19,target,0.2,-9,0
1,AE01,20,eyelink,0.01,-9,0.0690799241146703
1,AE01,20,adhawk,0.01,-9,-0.872262394983865
1,AE01,20,target,0.01,-9,0
1,AE01,21,eyelink,0.01,-9,0.204902903777437
1,AE01,21,adhawk,0.01,-9,-0.306693918810328
1,AE01,21,target,0.01,-9,0
1,AE01,22,eyelink,0.2,-9,-0.107504851964691
1,AE01,22,adhawk,0.2,-9,-5.23434718391629
1,AE01,22,target,0.2,-9,0
1,AE01,23,eyelink,0.01,9,0.0654152160316347
1,AE01,23,adhawk,0.01,9,-0.156855574529106
1,AE01,23,target,0.01,9,0
1,AE01,24,eyelink,0.01,9,-0.057624969295532
1,AE01,24,adhawk,0.01,9,5.64997230773247
1,AE01,24,target,0.01,9,0
1,AE01,25,eyelink,0.1,-9,-0.136891356087924
1,AE01,25,adhawk,0.1,-9,1.92687291638389
1,AE01,25,target,0.1,-9,0
1,AE01,26,eyelink,0.01,-9,-0.0165106841953928
1,AE01,26,adhawk,0.01,-9,-0.904288892163479
1,AE01,26,target,0.01,-9,0
1,AE01,27,eyelink,0.2,-9,0.124318310728477
1,AE01,27,adhawk,0.2,-9,-4.64682437246445
1,AE01,27,target,0.2,-9,0
1,AE01,28,eyelink,0.1,-9,-0.360337267587114
1,AE01,28,adhawk,0.1,-9,-1.21659258478799
1,AE01,28,target,0.1,-9,0
1,AE01,29,eyelink,0.1,-9,-0.285662855130323
1,AE01,29,adhawk,0.1,-9,-1.69946249430891
1,AE01,29,target,0.1,-9,0
1,AE01,30,eyelink,0.2,9,-0.145146574201925
1,AE01,30,adhawk,0.2,9,-9.06874838229658
1,AE01,30,target,0.2,9,0
2,AE02,1,eyelink,0.2,-9,-0.421817013533583
2,AE02,1,adhawk,0.2,-9,0.704600049313628
2,AE02,1,target,0.2,-9,0
2,AE02,2,eyelink,0.1,-9,0.0711650331922885
2,AE02,2,adhawk,0.1,-9,-1.48927289070013
2,AE02,2,target,0.1,-9,0
2,AE02,3,eyelink,0.1,-9,-0.201820961195921
2,AE02,3,adhawk,0.1,-9,-0.187144655093785
2,AE02,3,target,0.1,-9,0
2,AE02,4,eyelink,0.2,9,-0.487515892489455
2,AE02,4,adhawk,0.2,9,-0.631861521034515
2,AE02,4,target,0.2,9,0
2,AE02,5,eyelink,0.01,9,0.0686731790293507
2,AE02,5,adhawk,0.01,9,1.22118447567778
2,AE02,5,target,0.01,9,0
2,AE02,6,eyelink,0.1,9,-0.479158567630789
2,AE02,6,adhawk,0.1,9,2.35491419649567
2,AE02,6,target,0.1,9,0
2,AE02,7,eyelink,0.01,-9,-0.148500383688698
2,AE02,7,adhawk,0.01,-9,0.296651880898638
2,AE02,7,target,0.01,-9,0
2,AE02,8,eyelink,0.2,9,-0.358708518773826
2,AE02,8,adhawk,0.2,9,0.817366266416709
2,AE02,8,target,0.2,9,0
2,AE02,9,eyelink,0.1,9,-0.520256706466277
2,AE02,9,adhawk,0.1,9,-0.16883236976938
2,AE02,9,target,0.1,9,0
2,AE02,10,eyelink,0.01,9,0.531593373954841
2,AE02,10,adhawk,0.01,9,0.568847988877804
2,AE02,10,target,0.01,9,0
2,AE02,11,eyelink,0.01,-9,-0.164913710347267
2,AE02,11,adhawk,0.01,-9,-0.611925156324524
2,AE02,11,target,0.01,-9,0
2,AE02,12,eyelink,0.2,9,-0.426988637021499
2,AE02,12,adhawk,0.2,9,-0.0219706957156291
2,AE02,12,target,0.2,9,0
2,AE02,13,eyelink,0.01,9,6.00514532538542
2,AE02,13,adhawk,0.01,9,-2.92376477508697
2,AE02,13,target,0.01,9,0
2,AE02,14,eyelink,0.2,-9,-0.191896955648564
2,AE02,14,adhawk,0.2,-9,0.727005963217382
2,AE02,14,target,0.2,-9,0
2,AE02,15,eyelink,0.1,9,-0.252802950323984
2,AE02,15,adhawk,0.1,9,1.43320681876958
2,AE02,15,target,0.1,9,0
2,AE02,16,eyelink,0.2,9,-0.409083817428324
2,AE02,16,adhawk,0.2,9,0.382330197137116
2,AE02,16,target,0.2,9,0
2,AE02,17,eyelink,0.1,9,-0.373498835880245
2,AE02,17,adhawk,0.1,9,1.10647070935119
2,AE02,17,target,0.1,9,0
2,AE02,18,eyelink,0.1,9,-0.190150217761139
2,AE02,18,adhawk,0.1,9,0.245861178348719
2,AE02,18,target,0.1,9,0
2,AE02,19,eyelink,0.2,-9,1.20508933406963
2,AE02,19,adhawk,0.2,-9,-4.0885629061626
2,AE02,19,target,0.2,-9,0
2,AE02,20,eyelink,0.01,-9,0.537977626934341
2,AE02,20,adhawk,0.01,-9,0.490056605556055
2,AE02,20,target,0.01,-9,0
2,AE02,21,eyelink,0.01,-9,0.20101620423415
2,AE02,21,adhawk,0.01,-9,0.425670528715471
2,AE02,21,target,0.01,-9,0
2,AE02,22,eyelink,0.2,-9,-0.156726947963929
2,AE02,22,adhawk,0.2,-9,0.381907988021893
2,AE02,22,target,0.2,-9,0
2,AE02,23,eyelink,0.01,9,-0.0170875043713051
2,AE02,23,adhawk,0.01,9,1.32711366061651
2,AE02,23,target,0.01,9,0
2,AE02,24,eyelink,0.01,9,-1.79276586057476
2,AE02,24,adhawk,0.01,9,1.84025610728589
2,AE02,24,target,0.01,9,0
2,AE02,25,eyelink,0.1,-9,2.16062069565691
2,AE02,25,adhawk,0.1,-9,-1.3606457483804
2,AE02,25,target,0.1,-9,0
2,AE02,26,eyelink,0.01,-9,-6.59889638597029
2,AE02,26,adhawk,0.01,-9,-3.01635303777243
2,AE02,26,target,0.01,-9,0
2,AE02,27,eyelink,0.2,-9,0.139461161569994
2,AE02,27,adhawk,0.2,-9,0.446257673529578
2,AE02,27,target,0.2,-9,0
2,AE02,28,eyelink,0.1,-9,-25.6062692939601
2,AE02,28,adhawk,0.1,-9,-1.42441815913047
2,AE02,28,target,0.1,-9,0
2,AE02,29,eyelink,0.1,-9,4.29546088616728
2,AE02,29,adhawk,0.1,-9,1.16272882682983
2,AE02,29,target,0.1,-9,0
2,AE02,30,eyelink,0.2,9,15.2743159575817
2,AE02,30,adhawk,0.2,9,1.77245041401667
2,AE02,30,target,0.2,9,0
3,AE03,1,eyelink,0.2,-9,-0.779983976189322
3,AE03,1,adhawk,0.2,-9,-0.10630010326462
3,AE03,1,target,0.2,-9,0
3,AE03,2,eyelink,0.1,-9,-0.362488567468961
3,AE03,2,adhawk,0.1,-9,1.29502994293457
3,AE03,2,target,0.1,-9,0
3,AE03,3,eyelink,0.1,-9,-0.280379873315462
3,AE03,3,adhawk,0.1,-9,0.522946323492017
3,AE03,3,target,0.1,-9,0
3,AE03,4,eyelink,0.2,9,-0.0951783422756114
3,AE03,4,adhawk,0.2,9,-0.576118778051439
3,AE03,4,target,0.2,9,0
3,AE03,5,eyelink,0.01,9,-0.128218788250442
3,AE03,5,adhawk,0.01,9,-0.687480688843204
3,AE03,5,target,0.01,9,0
3,AE03,6,eyelink,0.1,9,0.902247008107795
3,AE03,6,adhawk,0.1,9,0.38405788353578
3,AE03,6,target,0.1,9,0
3,AE03,7,eyelink,0.01,-9,-0.0779418749792595
3,AE03,7,adhawk,0.01,-9,0.740029764863973
3,AE03,7,target,0.01,-9,0
3,AE03,8,eyelink,0.2,9,0.495227729029487
3,AE03,8,adhawk,0.2,9,0.884604454962727
3,AE03,8,target,0.2,9,0
3,AE03,9,eyelink,0.1,9,0.000817546243531159
3,AE03,9,adhawk,0.1,9,0.852729581635578
3,AE03,9,target,0.1,9,0
3,AE03,10,eyelink,0.01,9,-0.137775088029729
3,AE03,10,adhawk,0.01,9,-0.834748077204942
3,AE03,10,target,0.01,9,0
3,AE03,11,eyelink,0.01,-9,0.18282982889209
3,AE03,11,adhawk,0.01,-9,8.93524648029047
3,AE03,11,target,0.01,-9,0
3,AE03,12,eyelink,0.2,9,-0.33756555215785
3,AE03,12,adhawk,0.2,9,-3.53810463212495
3,AE03,12,target,0.2,9,0
3,AE03,13,eyelink,0.01,9,0.153135465264122
3,AE03,13,adhawk,0.01,9,0.204112166910998
3,AE03,13,target,0.01,9,0
3,AE03,14,eyelink,0.2,-9,-0.0853408929096058
3,AE03,14,adhawk,0.2,-9,-0.415971661666459
3,AE03,14,target,0.2,-9,0
3,AE03,15,eyelink,0.1,9,0.205771395480798
3,AE03,15,adhawk,0.1,9,-0.094750729256113
3,AE03,15,target,0.1,9,0
3,AE03,16,eyelink,0.2,9,-0.106804854059092
3,AE03,16,adhawk,0.2,9,-1.21694035001596
3,AE03,16,target,0.2,9,0
3,AE03,17,eyelink,0.1,9,0.208253250754154
3,AE03,17,adhawk,0.1,9,0.675479574434262
3,AE03,17,target,0.1,9,0
3,AE03,18,eyelink,0.1,9,0.416594705175141
3,AE03,18,adhawk,0.1,9,-0.71495564616026
3,AE03,18,target,0.1,9,0
3,AE03,19,eyelink,0.2,-9,-0.0672529195621601
3,AE03,19,adhawk,0.2,-9,-0.58354431210872
3,AE03,19,target,0.2,-9,0
3,AE03,20,eyelink,0.01,-9,0.0171904704222158
3,AE03,20,adhawk,0.01,-9,-0.185528186883791
3,AE03,20,target,0.01,-9,0
3,AE03,21,eyelink,0.01,-9,-0.187443915624342
3,AE03,21,adhawk,0.01,-9,-0.00835239106566481
3,AE03,21,target,0.01,-9,0
3,AE03,22,eyelink,0.2,-9,-0.302275716313769
3,AE03,22,adhawk,0.2,-9,-0.561934328675252
3,AE03,22,target,0.2,-9,0
3,AE03,23,eyelink,0.01,9,0.116808637526475
3,AE03,23,adhawk,0.01,9,-0.0491621558308982
3,AE03,23,target,0.01,9,0
3,AE03,24,eyelink,0.01,9,0.214477607810999
3,AE03,24,adhawk,0.01,9,0.315595595002887
3,AE03,24,target,0.01,9,0
3,AE03,25,eyelink,0.1,-9,-0.185397090995917
3,AE03,25,adhawk,0.1,-9,0.320072241631602
3,AE03,25,target,0.1,-9,0
3,AE03,26,eyelink,0.01,-9,0.28459176965835
3,AE03,26,adhawk,0.01,-9,0.774591846185198
3,AE03,26,target,0.01,-9,0
3,AE03,27,eyelink,0.2,-9,0.0316532977718829
3,AE03,27,adhawk,0.2,-9,-0.147734011971328
3,AE03,27,target,0.2,-9,0
3,AE03,28,eyelink,0.1,-9,-0.440577179791344
3,AE03,28,adhawk,0.1,-9,0.0582253574251316
3,AE03,28,target,0.1,-9,0
3,AE03,29,eyelink,0.1,-9,-0.405335625618941
3,AE03,29,adhawk,0.1,-9,-1.02306139246909
3,AE03,29,target,0.1,-9,0
3,AE03,30,eyelink,0.2,9,0.025733226179948
3,AE03,30,adhawk,0.2,9,0.469621495997832
3,AE03,30,target,0.2,9,0
4,AE04,1,eyelink,0.2,-9,0.201611922436373
4,AE04,1,adhawk,0.2,-9,-0.691508655112741
4,AE04,1,target,0.2,-9,0
4,AE04,2,eyelink,0.1,-9,0.129767344779313
4,AE04,2,adhawk,0.1,-9,1.36370106718294
4,AE04,2,target,0.1,-9,0
4,AE04,3,eyelink,0.1,-9,-0.169102326680559
4,AE04,3,adhawk,0.1,-9,-0.0274311110149868
4,AE04,3,target,0.1,-9,0
4,AE04,4,eyelink,0.2,9,0.23118231071366
4,AE04,4,adhawk,0.2,9,0.0427774415059277
4,AE04,4,target,0.2,9,0
4,AE04,5,eyelink,0.01,9,-0.232402970354448
4,AE04,5,adhawk,0.01,9,1.07623115676151
4,AE04,5,target,0.01,9,0
4,AE04,6,eyelink,0.1,9,-0.0449446067404937
4,AE04,6,adhawk,0.1,9,-0.383870395192981
4,AE04,6,target,0.1,9,0
4,AE04,7,eyelink,0.01,-9,0.0869981810299887
4,AE04,7,adhawk,0.01,-9,-0.249000177318422
4,AE04,7,target,0.01,-9,0
4,AE04,8,eyelink,0.2,9,0.0576312512414105
4,AE04,8,adhawk,0.2,9,-0.0698946103496766
4,AE04,8,target,0.2,9,0
4,AE04,9,eyelink,0.1,9,0.352212406813926
4,AE04,9,adhawk,0.1,9,-0.218146806398832
4,AE04,9,target,0.1,9,0
4,AE04,10,eyelink,0.01,9,-0.0448157972644271
4,AE04,10,adhawk,0.01,9,0.363492816912553
4,AE04,10,target,0.01,9,0
4,AE04,11,eyelink,0.01,-9,-0.0495517206552418
4,AE04,11,adhawk,0.01,-9,0.246722341168316
4,AE04,11,target,0.01,-9,0
4,AE04,12,eyelink,0.2,9,0.165574251974882
4,AE04,12,adhawk,0.2,9,-0.120173033968988
4,AE04,12,target,0.2,9,0
4,AE04,13,eyelink,0.01,9,0.228750082461934
4,AE04,13,adhawk,0.01,9,0.2294560990838
4,AE04,13,target,0.01,9,0
4,AE04,14,eyelink,0.2,-9,0.0469262845223648
4,AE04,14,adhawk,0.2,-9,-0.486724618143725
4,AE04,14,target,0.2,-9,0
4,AE04,15,eyelink,0.1,9,0.118576285898946
4,AE04,15,adhawk,0.1,9,-0.63171141650818
4,AE04,15,target,0.1,9,0
4,AE04,16,eyelink,0.2,9,0.129311724124218
4,AE04,16,adhawk,0.2,9,-0.433924289163989
4,AE04,16,target,0.2,9,0
4,AE04,17,eyelink,0.1,9,0.266272928953419
4,AE04,17,adhawk,0.1,9,0.0357104764680623
4,AE04,17,target,0.1,9,0
4,AE04,18,eyelink,0.1,9,0.276836529527682
4,AE04,18,adhawk,0.1,9,-1.21829643563219
4,AE04,18,target,0.1,9,0
4,AE04,19,eyelink,0.2,-9,0.0845266628103699
4,AE04,19,adhawk,0.2,-9,-0.131877096246476
4,AE04,19,target,0.2,-9,0
4,AE04,20,eyelink,0.01,-9,0.0683492426713801
4,AE04,20,adhawk,0.01,-9,0.403991615206755
4,AE04,20,target,0.01,-9,0
4,AE04,21,eyelink,0.01,-9,0.042894212386561
4,AE04,21,adhawk,0.01,-9,-0.195525234716476
4,AE04,21,target,0.01,-9,0
4,AE04,22,eyelink,0.2,-9,-0.0132311650226265
4,AE04,22,adhawk,0.2,-9,-0.606613721508635
4,AE04,22,target,0.2,-9,0
4,AE04,23,eyelink,0.01,9,0.0111320313666382
4,AE04,23,adhawk,0.01,9,0.328249055242543
4,AE04,23,target,0.01,9,0
4,AE04,24,eyelink,0.01,9,0.109043043017828
4,AE04,24,adhawk,0.01,9,0.230132783557065
4,AE04,24,target,0.01,9,0
4,AE04,25,eyelink,0.1,-9,0.0651646772908371
4,AE04,25,adhawk,0.1,-9,-0.222688343550959
4,AE04,25,target,0.1,-9,0
4,AE04,26,eyelink,0.01,-9,0.00252442502612421
4,AE04,26,adhawk,0.01,-9,0.22520369533738
4,AE04,26,target,0.01,-9,0
4,AE04,27,eyelink,0.2,-9,0.205991595705195
4,AE04,27,adhawk,0.2,-9,0.19379533500911
4,AE04,27,target,0.2,-9,0
4,AE04,28,eyelink,0.1,-9,0.025274760737654
4,AE04,28,adhawk,0.1,-9,-0.602515179202781
4,AE04,28,target,0.1,-9,0
4,AE04,29,eyelink,0.1,-9,0.0895374617859161
4,AE04,29,adhawk,0.1,-9,-0.338936214596636
4,AE04,29,target,0.1,-9,0
4,AE04,30,eyelink,0.2,9,0.267855651962222
4,AE04,30,adhawk,0.2,9,-0.71587681638116
4,AE04,30,target,0.2,9,0
5,AE05,1,eyelink,0.2,-9,-0.162122226138769
5,AE05,1,adhawk,0.2,-9,-0.0103885331397758
5,AE05,1,target,0.2,-9,0
5,AE05,2,eyelink,0.1,-9,-0.0601796636641993
5,AE05,2,adhawk,0.1,-9,0.459522758747022
5,AE05,2,target,0.1,-9,0
5,AE05,3,eyelink,0.1,-9,-0.154736498884865
5,AE05,3,adhawk,0.1,-9,0.697406584355572
5,AE05,3,target,0.1,-9,0
5,AE05,4,eyelink,0.2,9,-0.0118561945149636
5,AE05,4,adhawk,0.2,9,0.186608371473325
5,AE05,4,target,0.2,9,0
5,AE05,5,eyelink,0.01,9,0.0184194867007299
5,AE05,5,adhawk,0.01,9,0.268774303288787
5,AE05,5,target,0.01,9,0
5,AE05,6,eyelink,0.1,9,-0.125358462982271
5,AE05,6,adhawk,0.1,9,-0.000965355018962413
5,AE05,6,target,0.1,9,0
5,AE05,7,eyelink,0.01,-9,-0.0387650414147371
5,AE05,7,adhawk,0.01,-9,0.371673947286598
5,AE05,7,target,0.01,-9,0
5,AE05,8,eyelink,0.2,9,-0.159787097932454
5,AE05,8,adhawk,0.2,9,0.458420063527901
5,AE05,8,target,0.2,9,0
5,AE05,9,eyelink,0.1,9,-0.0577986672748706
5,AE05,9,adhawk,0.1,9,-0.209527143788793
5,AE05,9,target,0.1,9,0
5,AE05,10,eyelink,0.01,9,-0.0378579877544475
5,AE05,10,adhawk,0.01,9,0.622566931858353
5,AE05,10,target,0.01,9,0
5,AE05,11,eyelink,0.01,-9,0.0592902572498342
5,AE05,11,adhawk,0.01,-9,0.0970655073703449
5,AE05,11,target,0.01,-9,0
5,AE05,12,eyelink,0.2,9,0.0469769233621956
5,AE05,12,adhawk,0.2,9,0.861124259208646
5,AE05,12,target,0.2,9,0
5,AE05,13,eyelink,0.01,9,-0.0243021599217043
5,AE05,13,adhawk,0.01,9,-0.718532957506969
5,AE05,13,target,0.01,9,0
5,AE05,14,eyelink,0.2,-9,0.313704335320831
5,AE05,14,adhawk,0.2,-9,0.331552647177229
5,AE05,14,target,0.2,-9,0
5,AE05,15,eyelink,0.1,9,-0.171930537125624
5,AE05,15,adhawk,0.1,9,0.323042783237333
5,AE05,15,target,0.1,9,0
5,AE05,16,eyelink,0.2,9,-0.10374952772395
5,AE05,16,adhawk,0.2,9,-0.00235577208293454
5,AE05,16,target,0.2,9,0
5,AE05,17,eyelink,0.1,9,0.307082029354683
5,AE05,17,adhawk,0.1,9,0.461532869880827
5,AE05,17,target,0.1,9,0
5,AE05,18,eyelink,0.1,9,-0.0220903472507617
5,AE05,18,adhawk,0.1,9,-0.194165010148084
5,AE05,18,target,0.1,9,0
5,AE05,19,eyelink,0.2,-9,0.0538464913688224
5,AE05,19,adhawk,0.2,-9,-0.479770982999659
5,AE05,19,target,0.2,-9,0
5,AE05,20,eyelink,0.01,-9,-0.229184853021907
5,AE05,20,adhawk,0.01,-9,-0.0499338723805014
5,AE05,20,target,0.01,-9,0
5,AE05,21,eyelink,0.01,-9,-0.196619675957397
5,AE05,21,adhawk,0.01,-9,0.186295335458714
5,AE05,21,target,0.01,-9,0
5,AE05,22,eyelink,0.2,-9,0.109277725961023
5,AE05,22,adhawk,0.2,-9,0.835459632093597
5,AE05,22,target,0.2,-9,0
5,AE05,23,eyelink,0.01,9,0.0718041451221153
5,AE05,23,adhawk,0.01,9,0.362502497494009
5,AE05,23,target,0.01,9,0
5,AE05,24,eyelink,0.01,9,-0.0535010193346071
5,AE05,24,adhawk,0.01,9,0.597516770467011
5,AE05,24,target,0.01,9,0
5,AE05,25,eyelink,0.1,-9,0.179629308916105
5,AE05,25,adhawk,0.1,-9,0.281554299999173
5,AE05,25,target,0.1,-9,0
5,AE05,26,eyelink,0.01,-9,0.153002376989967
