subject,id,trial,source,stream,freq,amp,sac_amp
1,AE01,2,eyelink,right,0,-9,0.756059509399355
1,AE01,2,eyelink,right,0,-9,0.277397199497008
1,AE01,2,eyelink,right,0,-9,0.666561587862525
1,AE01,2,eyelink,right,0,-9,1.32454616027983
1,AE01,2,eyelink,right,0,-9,0.79070286233931
1,AE01,2,eyelink,right,0,-9,0.509269315638693
1,AE01,2,eyelink,left,0,-9,0.638519420366006
1,AE01,2,eyelink,left,0,-9,0.949644819866876
1,AE01,2,eyelink,left,0,-9,1.47641640454716
1,AE01,2,eyelink,left,0,-9,0.912297402377126
1,AE01,2,eyelink,left,0,-9,0.624083177069741
1,AE01,2,adhawk,right,0,-9,0.456166530112124
1,AE01,2,adhawk,left,0,-9,0.540862860591282
1,AE01,2,adhawk,left,0,-9,0.370067015579902
1,AE01,2,adhawk,left,0,-9,0.378616843384373
1,AE01,4,adhawk,left,0,-9,0.239687399613628
1,AE01,4,adhawk,left,0,-9,0.452175766263721
1,AE01,4,adhawk,left,0,-9,0.197255193550053
1,AE01,5,eyelink,right,0,-9,0.487869907221157
1,AE01,5,eyelink,right,0,-9,0.58706850018525
1,AE01,5,eyelink,right,0,-9,1.26751680693604
1,AE01,5,eyelink,left,0,-9,0.169107033784409
1,AE01,5,eyelink,left,0,-9,0.783449337982765
1,AE01,5,eyelink,left,0,-9,1.40819555158121
1,AE01,5,adhawk,left,0,-9,0.34142385008615
1,AE01,6,eyelink,right,0,-9,0.81104358020107
1,AE01,6,eyelink,right,0,-9,0.266070360087478
1,AE01,6,eyelink,right,0,-9,0.232324601881172
1,AE01,6,eyelink,right,0,-9,0.411205125251558
1,AE01,6,eyelink,right,0,-9,0.414921092604804
1,AE01,6,eyelink,right,0,-9,0.382859000020033
1,AE01,6,eyelink,right,0,-9,0.759716493505892
1,AE01,6,eyelink,left,0,-9,0.374596650478673
1,AE01,6,eyelink,left,0,-9,0.891779554696206
1,AE01,6,eyelink,left,0,-9,0.287143045308485
1,AE01,6,eyelink,left,0,-9,0.192767700872705
1,AE01,6,eyelink,left,0,-9,0.753892861049225
1,AE01,6,eyelink,left,0,-9,0.65140175510808
1,AE01,6,adhawk,left,0,-9,0.255618149337308
1,AE01,6,adhawk,left,0,-9,0.749261050145236
1,AE01,8,adhawk,left,0,-9,0.213622061682498
1,AE01,8,adhawk,left,0,-9,0.512070311392976
1,AE01,8,adhawk,left,0,-9,0.291614455937649
1,AE01,8,adhawk,left,0,-9,0.290683701608081
1,AE01,8,adhawk,left,0,-9,0.40199028873846
1,AE01,8,adhawk,left,0,-9,0.311090662729818
1,AE01,9,eyelink,right,0,-9,0.762341403724916
1,AE01,9,adhawk,left,0,-9,0.619341068268737
1,AE01,9,adhawk,left,0,-9,0.426891491153258
1,AE01,9,adhawk,left,0,-9,0.53274311936039
1,AE01,9,adhawk,left,0,-9,0.732637572175368
1,AE01,9,adhawk,left,0,-9,0.275282583039919
1,AE01,10,eyelink,right,0,-9,1.39366961744112
1,AE01,10,eyelink,right,0,-9,0.615998895200739
1,AE01,10,eyelink,left,0,-9,1.70215676039765
1,AE01,10,eyelink,left,0,-9,0.194313007359273
1,AE01,10,eyelink,left,0,-9,0.447804490024904
1,AE01,10,adhawk,right,0,-9,0.496130745851747
1,AE01,10,adhawk,left,0,-9,0.881982310182255
1,AE01,10,adhawk,left,0,-9,0.540247144532141
1,AE01,10,adhawk,left,0,-9,0.126827578580076
1,AE01,10,adhawk,left,0,-9,0.560803395987896
1,AE01,10,adhawk,left,0,-9,0.352722220553938
1,AE01,10,adhawk,left,0,-9,0.334298240285154
1,AE01,10,adhawk,left,0,-9,0.284511978442492
1,AE01,10,adhawk,left,0,-9,0.632628224624836
1,AE01,11,eyelink,right,0,-9,11.3167387149761
1,AE01,11,eyelink,right,0,-9,11.75185684381
1,AE01,11,eyelink,right,0,-9,0.611606984414503
1,AE01,11,eyelink,left,0,-9,6.68067933669097
1,AE01,11,eyelink,left,0,-9,6.5585068345536
1,AE01,11,eyelink,left,0,-9,0.414692685527675
1,AE01,11,eyelink,left,0,-9,0.434629725587595
1,AE01,11,adhawk,right,0,-9,1.0213957985626
1,AE01,11,adhawk,right,0,-9,0.869072323153159
1,AE01,11,adhawk,right,0,-9,4.37616164592111
1,AE01,11,adhawk,right,0,-9,4.89014206787156
1,AE01,11,adhawk,left,0,-9,0.309863936510801
1,AE01,11,adhawk,left,0,-9,0.571614287539326
1,AE01,11,adhawk,left,0,-9,2.03076705563856
1,AE01,11,adhawk,left,0,-9,1.82634221781988
1,AE01,11,adhawk,left,0,-9,0.591207124266749
1,AE01,11,adhawk,left,0,-9,0.23464174497769
1,AE01,12,eyelink,right,0,-9,0.245661450067065
1,AE01,12,adhawk,left,0,-9,0.406119045655817
1,AE01,12,adhawk,left,0,-9,0.312729996635857
1,AE01,13,eyelink,right,0,-9,0.215508115905992
1,AE01,13,adhawk,left,0,-9,0.20702695670688
1,AE01,13,adhawk,left,0,-9,0.26089405897668
