,subject,trial,start,end,el_rx,el_rx_sd,el_ry,el_ry_sd,el_lx,el_lx_sd,el_ly,el_ly_sd,ah_rx,ah_rx_sd,ah_ry,ah_ry_sd,ah_lx,ah_lx_sd,ah_ly,ah_ly_sd,el_rcorr,el_lcorr,ah_rcorr,ah_lcorr,el_r_bcea,el_l_bcea,ah_r_bcea,ah_l_bcea
0,1,1,3400,5400,-0.05,0.08,-0.33,0.2,0.21,0.05,0.06,0.14,-0.11,0.16,-0.84,0.29,-1.3,0.13,3.45,0.31,-0.446547501,-0.169245103,0.842179289,0.424729866,-0.986998529402852,-1.304037763276419,-0.744559112079136,-0.5807178140273582
1,1,2,7600,9600,-0.94,0.1,3.18,0.11,0.07,0.09,4.06,0.21,-2.12,0.13,0.23,0.2,-7.51,0.2,-6.93,0.29,0.293671715,0.402706543,0.074782985,0.754590691,-1.1210170125795904,-0.9047859438853031,-0.7290694934336028,-0.562363617816739
2,1,3,800,2800,0.16,0.15,12.8,0.18,-5.4,0.1,14.17,0.12,-2.06,0.17,0.03,0.15,-7.65,0.18,-0.96,0.37,0.330496394,-0.296239228,0.526724177,0.763378081,-0.7365779627903236,-1.0835886842144593,-0.8068474064580625,-0.509150603787713
3,1,4,7800,9800,-1.36,0.19,3.37,0.18,-1.52,0.18,4.17,0.27,-1.63,0.17,1.79,0.32,-1.01,0.33,0.05,0.46,-0.277670643,-0.446641784,0.720265662,0.779989217,-0.6262218410571482,-0.5045050851581289,-0.5660554880338031,-0.16512259752906527
4,1,5,8600,10600,-1.16,0.13,19.73,0.24,-6.94,0.21,23.99,0.16,-3.53,0.18,6.12,0.18,-3.99,0.2,3.06,0.28,0.432380349,0.539713668,0.573258171,0.500978782,-0.6936125558137616,-0.6912517387695535,-0.7187974227774878,-0.4573902286416858
5,2,1,800,2800,0.23,0.12,0.36,0.07,0.37,0.07,0.46,0.1,-0.33,0.11,-0.34,0.09,0.79,0.19,-0.06,0.19,-0.383081438,0.088836349,0.372476548,0.47836194,-1.253007956853258,-1.299447499716504,-1.1796223968772448,-0.6417428140552005
6,2,2,3000,5000,0.04,0.13,0.25,0.13,-0.72,0.07,0.5,0.13,-0.54,0.14,-0.66,0.14,0.29,0.2,-0.14,0.14,-0.419226582,-0.352959687,0.701140576,0.205145587,-0.9569090998264841,-1.2126755477230595,-0.997465387418413,-0.705003454490955
7,2,3,7800,9800,-3.76,0.09,4.1,0.18,-2.36,0.09,4.22,0.11,-4.4,0.12,2.82,0.19,-3.74,0.21,2.11,0.16,0.53780152,-0.619352528,0.619433468,-0.264972298,-1.007445624200545,-1.2522576667920804,-0.8899933396009534,-0.6322933996667984
8,2,4,6600,8600,-2.84,0.12,3.24,0.27,-2.78,0.17,4.78,0.26,-0.79,0.15,1.1,0.19,-1.23,0.2,1.13,0.12,0.605320041,0.399160577,0.059283526,0.164244445,-0.7313766769473186,-0.5350897786337309,-0.6887446942506367,-0.7685520732367944
9,2,5,2600,4600,0.39,0.13,0.1,0.12,-0.23,0.14,0.24,0.15,-0.15,0.2,-0.02,0.11,-0.14,0.14,0.14,0.12,0.025316329,0.617651139,0.675396929,-0.609887791,-0.9498396576329938,-0.9249334090571262,-0.9326671876329921,-1.0185231818566105
