,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,297,306,336,346,1.192,1.196,1.2040000000000002,1.2080000000000002,-1.1187739364360825,4.121709664744052,-0.43671935282679564,4.021027206156669,5.240483601180134,4.457746558983464,220.8858263295052,178.8648671686225,AE02,HMS,0,0.8142747060475836
0,595,609,830,845,2.384,2.388,2.392,2.396,1.108142369619407,-13.18019786119979,1.7077190373188231,-12.462720754638319,-14.288340230819198,-14.170439791957142,331.4136852871914,386.4771236747385,AE02,HMS,1,0.8592292380095715
1,303,308,539,543,1.216,1.22,1.2280000000000002,1.2320000000000002,-0.9407632280966027,1.194491292765111,-0.12351489166858531,0.8682367139971091,2.1352545208617135,0.9917516056656944,125.01640125994943,65.05908122823944,AE02,HMS,1,0.8592292380095715
0,554,567,681,693,2.22,2.224,2.22,2.224,-12.98715764297983,0.4557715149745613,-10.231024080859171,2.265934040374945,13.44292915795439,12.496958121234115,340.75801397106795,394.718277885933,AE02,HMS,2,0.8377627799731955
1,390,405,517,532,1.564,1.568,1.564,1.568,-1.4547961933466764,-13.123427606986805,-0.5718976769755267,-11.04822972138123,-11.668631413640128,-10.476332044405703,286.00005856123806,260.0698254242001,AE02,HMS,2,0.8377627799731955
0,619,638,634,653,2.48,2.484,2.5,2.504,4.73722493016211,-12.791372123458167,5.567266950187356,-11.219934938022984,-17.528597053620278,-16.78720188821034,343.593537787897,422.08848437525046,AE02,HMS,3,0.8967230494717779
1,297,304,312,321,1.192,1.196,1.212,1.216,-0.7879289874991942,3.3129583545179866,-0.2895885645640428,3.1362378409136613,4.100887342017181,3.425826405477704,191.41060640243208,141.45566736029735,AE02,HMS,3,0.8967230494717779
0,598,614,802,815,2.396,2.4,2.3400000000000003,2.3440000000000003,-13.255475290379614,4.1121997146489715,-10.251194476856291,4.743343078248937,17.367675005028588,14.994537555105229,383.9615243582289,378.43470188421855,AE02,HMS,4,0.8594407175850213
1,299,311,501,516,1.2,1.204,1.1360000000000001,1.1400000000000001,-1.1772233535576642,-11.970052892619762,0.03767227613768154,-9.987346516534053,-10.792829539062097,-10.025018792671736,296.8167630661355,263.91702733799883,AE02,HMS,4,0.8594407175850213
0,575,595,656,674,2.304,2.308,2.3160000000000003,2.3200000000000003,11.588003519766996,-12.746068734333171,11.40909483779437,-11.580391563161914,-24.334072254100167,-22.989486400956284,425.7406215628175,508.28854642868833,AE02,HMS,5,0.7928664785813537
1,378,391,457,471,1.516,1.52,1.52,1.524,-0.9952308245103403,10.861688043530451,-0.14729942571325394,10.26234149014763,11.856918868040792,10.409640915860884,295.1420782411621,257.7961383409111,AE02,HMS,5,0.7928664785813537
0,615,630,810,824,2.464,2.468,2.3920000000000003,2.3960000000000004,4.51802902972835,-9.774730781147838,5.05237862943094,-8.30553793646849,-14.292759810876188,-13.35791656589943,321.55999953955995,375.344490758616,AE02,HMS,6,0.680058823577212
1,301,310,496,505,1.208,1.212,1.1360000000000001,1.1400000000000001,-0.9606805004440067,3.8651363231502183,0.2115885145770411,4.229940073558311,4.825816823594225,4.018351558981269,193.26263787248385,160.7086236119321,AE02,HMS,6,0.680058823577212
0,301,312,348,359,1.208,1.212,1.224,1.228,-1.1998006594338568,8.822354560289975,0.8331720003998844,8.594643402326117,10.022155219723832,7.761471401926233,293.51605064078046,231.92478276381962,AE02,HMS,7,0.8123619281475848
