subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_gain,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_gain,AH_Avg_P2_vel
AE04,1,1,1,1236,1264,1.23077467,6.877410512,236,5.646635842,97.18331109,248.1126856,2244,2300,6.530153502,-7.204775771,244,-13.73492927,NaN,358.6888249,1236,1268,0.706537528,6.569031858,236,5.86249433,100.8984156,233.3206915,2244,2300,5.943837112,-6.831300143,244,-12.77513725,NaN,362.3864954,1236,1268,0.968656099,6.74991107,236,5.781254971,99.50021854,240.7166886,2244,2300,6.236995307,-7.018037957,244,-13.25503326,NaN,358.6519741,1172,1224,7.372805363,13.13684903,172,5.764043662,99.20399756,166.5432294,2180,2244,12.52910336,-2.36078522,180,-14.88988858,NaN,338.976284,1172,1212,11.20910455,16.61530394,172,5.406199396,93.04519937,197.6999506,2180,2244,15.90841639,4.473533952,180,-11.43488244,NaN,250.7078136,1172,1220,9.290954955,14.80639742,172,5.515442468,94.92536373,178.1131036,2180,2244,14.21875987,1.056374366,180,-13.16238551,NaN,288.5452405
AE04,2,1,1,1224,1252,1.343966158,4.452031885,224,3.108065727,106.0042888,155.8785424,2228,2284,3.717211009,-9.960336242,228,-13.67754725,NaN,331.1731625,1224,1252,0.620381617,3.8030079,224,3.182626283,108.5472655,148.7554213,2228,2284,2.92960056,-9.883893626,228,-12.81349419,NaN,341.6361346,1224,1252,0.982173888,4.127519892,224,3.145346005,107.2757772,152.3169819,2228,2284,3.323405785,-9.922114934,228,-13.24552072,NaN,335.9493828,1120,1160,7.014116536,9.626519493,120,2.612402957,89.09911884,86.61978078,2128,2192,9.326973303,-5.878501474,128,-15.20547478,NaN,326.274517,1128,1160,11.24645269,13.77012688,128,2.523674194,86.07291854,98.899051,2124,2196,13.16366431,1.608880384,124,-11.55478393,NaN,264.2850068,1124,1160,9.148758044,11.69832319,124,2.549565144,86.95596027,92.65399141,2128,2196,11.17400172,-2.20910445,128,-13.38310618,NaN,292.34423
AE04,3,1,1,1208,1260,1.34642673,-9.565800797,208,-10.91222753,95.47992467,280.6750341,2204,2260,-9.625638736,4.25866143,204,13.88430017,NaN,338.85226,1208,1260,0.398825899,-9.857608252,208,-10.25643415,89.74185677,288.3226235,2204,2264,-10.00570712,3.859379439,204,13.86508656,NaN,313.5127607,1208,1260,0.872626314,-9.711704524,208,-10.58433084,92.61089072,282.581717,2204,2264,-9.815672929,4.063917076,204,13.87959,NaN,326.1825104,1128,1192,7.082407362,-5.186563372,128,-12.26897073,107.3511708,345.6111587,2120,2196,-4.940622328,9.42860811,120,14.36923044,NaN,321.4764683,1132,1200,10.49535287,0.948623901,132,-9.546728973,83.53207085,224.3974225,2124,2196,0.350242836,14.12023545,124,13.76999261,NaN,291.1752203,1132,1196,8.709952896,-2.118522753,132,-10.82847565,94.74711158,285.0042906,2124,2196,-2.216454661,11.77442178,124,13.99087644,NaN,303.6411218
AE04,4,1,1,1212,1248,1.681014342,6.976881267,212,5.295866925,91.14628555,224.4632715,2220,2280,6.564172395,-9.50833655,220,-16.07250895,NaN,364.4375726,1216,1248,0.568686699,5.895122253,216,5.326435554,91.67239714,210.1127267,2220,2280,5.383112809,-9.845658968,220,-15.22877178,NaN,381.0267089,1216,1248,1.175273957,6.43600176,216,5.260727803,90.54151196,217.2879991,2220,2280,5.973642602,-9.676997759,220,-15.65064036,NaN,369.8718258,1144,1188,8.070085422,12.71818089,144,4.648095471,79.9975987,157.2533991,2136,2216,12.83776675,-5.096888808,136,-17.93465556,NaN,356.9074658,1140,1184,10.82003616,15.90301779,140,5.082981634,87.48235218,170.1332329,2144,2220,15.59653083,1.598610429,144,-13.9979204,NaN,289.158389,1140,1188,9.373710524,14.37618911,140,5.002478586,86.0968276,163.693316,2140,2220,14.19234377,-1.825227252,140,-16.01757102,NaN,322.7319861
AE04,5,1,1,1204,1256,1.3784137,-10.28481495,204,-11.66322865,102.0510423,303.9403202,2196,2256,-9.83370882,5.619724575,196,15.45343339,NaN,369.1267653,1204,1252,0.260962566,-10.60149252,204,-10.86245508,95.04442516,305.4083834,2196,2260,-10.49679853,5.065716655,196,15.56251519,NaN,344.9921877,1204,1252,0.819688133,-10.3859303,204,-11.20561843,98.04703949,304.6743518,2196,2256,-10.16525368,5.274309732,196,15.43956341,NaN,354.6806192,1112,1172,7.3920259,-5.522282582,112,-12.91430848,112.9977539,335.1839734,2100,2176,-4.826291034,11.09549142,100,15.92178245,NaN,323.5106944,1112,1172,10.45079713,0.654379657,112,-9.796417471,85.71679793,237.3830045,2100,2176,-0.012260382,15.29721347,100,15.30947385,NaN,325.9814993,1112,1172,8.921411514,-2.433951463,112,-11.35536298,99.35727595,286.283489,2100,2176,-2.419275708,13.19635244,100,15.61562815,NaN,324.7460969
AE04,6,1,1,1200,1248,1.479289961,12.2170702,200,10.73778024,87.40535086,310.877244,2216,2292,13.08660943,-10.5396365,216,-23.62624593,NaN,437.0742416,1200,1248,0.566225012,11.39856881,200,10.8323438,88.17509665,287.2685517,2216,2292,11.98405019,-10.42061286,216,-22.40466305,NaN,439.9055868,1200,1248,1.022757486,11.80781951,200,10.78506202,87.79022375,298.4984897,2216,2292,12.53532981,-10.48012468,216,-23.01545449,NaN,433.0919864,1140,1208,7.871174944,17.31456139,140,9.443386447,76.86900712,238.251269,2152,2240,18.53797546,-6.096249595,152,-24.63422505,NaN,400.4492472,1140,1196,10.99162762,21.45931207,140,10.46768445,85.20677566,274.3797657,2156,2244,21.84528087,1.426802682,156,-20.41847818,NaN,357.0847172,1140,1204,9.431401281,19.3758626,140,9.944461323,80.94774819,256.3155174,2156,2244,20.11023692,-2.411787488,156,-22.52202441,NaN,371.3382545
AE04,7,1,1,1224,1256,1.644116508,7.047213154,224,5.403096645,92.99179844,230.419244,2232,2288,6.656485895,-7.275037757,232,-13.93152365,NaN,343.6395177,1224,1256,0.777921451,6.148344563,224,5.370423112,92.42945969,216.7916304,2232,2288,5.761112485,-7.330747153,232,-13.09185964,NaN,353.6560652,1224,1256,1.21101898,6.597778858,224,5.386759879,92.71062907,223.6054372,2232,2288,6.20879919,-7.302892455,232,-13.51169165,NaN,345.8445318,1164,1204,7.81866559,12.50632472,164,4.687659127,80.67852221,176.946458,2168,2236,12.19662574,-2.362686716,168,-14.55931246,NaN,339.4391009,1160,1200,11.29495595,16.42312529,160,5.128169335,88.2600702,183.0162942,2164,2236,16.04215112,4.218765827,164,-11.82338529,NaN,275.3097852,1160,1204,9.486817506,14.52219308,160,5.03537557,86.66301213,179.9813761,2164,2236,14.17682605,0.928039555,164,-13.24878649,NaN,304.5861685
AE04,8,1,1,1272,1320,2.14825592,12.71936149,272,10.57110557,92.04414411,304.1676118,2240,2300,12.36514278,-1.934340187,240,-14.29948297,NaN,324.8255694,1272,1320,0.881300723,11.71050436,272,10.82920364,94.29144131,287.3908084,2240,2296,11.24944755,-2.615211817,240,-13.86465936,NaN,356.8174605,1272,1320,1.514778322,12.21493292,272,10.7001546,93.16779266,295.528052,2240,2296,11.80729516,-2.237887572,240,-14.04518274,NaN,336.9314339,1168,1248,8.047799379,18.56293507,168,10.51513569,91.55680627,215.6631553,2144,2212,17.7374253,3.980889879,144,-13.75653542,NaN,308.7143206,1172,1232,11.16130544,21.87396568,172,10.71266024,93.27668108,270.7521199,2144,2212,21.18415164,8.650560276,144,-12.53359136,NaN,264.3436253,1172,1244,9.69134924,20.17071711,172,10.47936787,91.24537069,242.4804547,2144,2212,19.46078847,6.315725078,144,-13.14506339,NaN,285.3945707
AE04,9,1,1,1208,1260,1.120034562,-11.51680784,208,-12.6368424,103.8047583,331.0963386,2236,2312,-10.74889425,10.95548924,236,21.70438349,NaN,412.7295333,1208,1260,0.445599988,-11.41512822,208,-11.86072821,97.42940414,332.7170195,2236,2312,-11.18786028,10.81304047,236,22.00090075,NaN,406.621143,1208,1260,0.782817275,-11.46596803,208,-12.24878531,100.6170813,331.3004996,2236,2312,-10.96837726,10.88426485,236,21.85264212,NaN,406.6260998,1140,1204,7.311198169,-6.978251885,140,-14.28945005,117.3800275,303.9537653,2168,2260,-5.676524825,15.83499064,168,21.51151546,NaN,373.937815,1144,1212,10.73631993,-0.144688623,144,-10.88100856,89.38154232,253.8924957,2172,2256,-0.559172475,21.05874474,172,21.61791722,NaN,357.1768062,1144,1208,8.95094985,-3.547728468,144,-12.49867832,102.6698159,278.5475485,2172,2260,-3.044880608,18.49889601,172,21.54377661,NaN,356.1492475
AE04,10,1,1,1204,1252,1.621977151,12.4825415,204,10.86056435,94.56450354,333.4811308,2248,2312,12.23117952,-4.417770985,248,-16.64895051,NaN,360.23614,1204,1252,0.632689785,11.95342152,204,11.32073174,98.57124752,315.3692649,2248,2312,11.38437349,-4.586597171,248,-15.97097067,NaN,376.0183872,1204,1252,1.127333468,12.21798151,204,11.09064804,96.56787549,322.9991881,2248,2312,11.80777651,-4.502184078,248,-16.30996059,NaN,362.1141355,1164,1232,7.40755507,17.23243613,164,9.824881062,85.54665946,240.9238731,2212,2284,17.65377025,0.956202053,212,-16.6975682,NaN,337.3816405,1164,1220,11.6044345,22.32059475,164,10.71616025,93.30715617,279.4549998,2208,2280,21.57451186,7.244682312,208,-14.32982955,NaN,289.1310382,1164,1224,9.505994785,19.62214274,164,10.11614795,88.08276235,258.2302448,2208,2280,19.71090506,4.185194581,208,-15.52571048,NaN,313.2563393
