subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_gain,AH_Left_P2_amp,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_gain,AH_Avg_P2_vel
AE09,1,1,1,1276,1308,3.832420064,8.58635472,276,4.753934656,81.81917933,223.5736001,2240,2288,9.019121446,-3.548020024,240,-12.56714147,NaN,372.2664926,1280,1308,1.666255374,6.942920365,280,5.276664991,90.81580425,235.9760889,2240,2288,7.151459027,-5.009528921,240,-12.16098795,NaN,363.9826472,1276,1308,2.698908337,7.764637542,276,5.065729206,87.18542351,229.7748445,2240,2288,8.085290237,-4.278774473,240,-12.36406471,NaN,368.1245699,1196,1244,23.25752097,27.51499802,196,4.257477054,73.27473004,125.1537108,2152,2220,28.8215352,14.36911401,152,-14.45242119,NaN,348.8109852,1196,1244,0.151955589,6.030906965,196,5.878951376,101.1816551,206.1819721,2156,2228,6.137073173,-5.640889531,156,-11.7779627,NaN,271.1198317,1196,1244,11.70473828,16.77295249,196,5.068214215,87.22819259,165.5031199,2156,2224,17.40758744,4.388573511,156,-13.01901393,NaN,282.657936
AE09,2,1,1,1248,1268,3.562734786,6.17998061,248,2.617245824,89.26429059,160.960065,2220,2268,6.454809529,-9.261501186,220,-15.71631071,NaN,428.6736606,1248,1272,1.220931465,4.383506918,248,3.162575453,107.863408,178.8332055,2220,2268,4.270902995,-10.34677244,220,-14.61767544,NaN,395.1620534,1248,1268,2.391833126,5.205854615,248,2.814021489,95.97555935,168.6809669,2220,2268,5.362856262,-9.804136813,220,-15.16699308,NaN,411.917857,1204,1240,23.80036559,26.09767823,204,2.297312646,78.35258795,83.80720166,2172,2244,26.89576161,8.731276819,172,-18.16448479,NaN,373.9645866,1204,1244,-0.208558573,3.224805519,204,3.433364092,117.0989776,126.6446534,2176,2248,2.684487956,-11.15485411,176,-13.83934206,NaN,312.1267012,1204,1244,11.79590351,14.72363736,204,2.927733848,99.85385499,105.2259275,2172,2248,14.8404035,-1.256122656,172,-16.09652616,NaN,341.2887241
AE09,3,1,1,1208,1248,3.413113112,-7.367071867,208,-10.78018498,94.32457736,351.8870011,2140,2216,-7.925703841,5.585586103,140,13.51128994,NaN,285.4610898,1208,1248,1.073275066,-8.954271318,208,-10.02754638,87.73913212,330.1572902,2140,2216,-10.05583913,4.214588581,140,14.27042772,NaN,284.4449135,1208,1248,2.243194089,-8.160671592,208,-10.40386568,91.03185474,341.0221456,2140,2216,-8.990771488,4.900087342,140,13.89085883,NaN,279.7267333,1148,1212,23.97491083,11.36220485,148,-12.61270598,110.3587891,363.7003643,2084,2188,11.84497641,26.09758534,84,14.25260892,NaN,212.2612747,1152,1216,-0.35865389,-10.15487891,152,-9.796225016,85.71511399,247.8710296,2084,2176,-12.06593229,3.751846325,84,15.81777861,NaN,263.4792333,1152,1212,11.72181594,0.698296943,152,-11.023519,96.45370396,286.8630714,2084,2180,-0.110477935,14.81117859,84,14.92165653,NaN,224.2332353
AE09,4,1,1,1208,1236,3.548020024,8.689829557,208,5.141809533,88.49482938,246.0879871,2192,2244,8.990302034,-7.451806331,192,-16.44210836,NaN,436.89821,1208,1236,1.496511837,7.192659427,208,5.69614759,98.03544955,266.9940942,2188,2244,6.88469028,-8.843732704,188,-15.72842298,NaN,409.1083638,1208,1236,2.522265931,7.941244492,208,5.418978561,93.26513946,256.5410407,2192,2244,7.884100058,-8.147769518,192,-16.03186958,NaN,422.3693757,1152,1200,24.78782566,29.35009699,152,4.562271331,78.52049369,137.7812347,2124,2204,30.22692805,10.87827282,124,-19.34865523,NaN,404.6502697,1148,1192,0.598499164,6.839648561,148,6.241149397,107.4153851,223.8099678,2132,2212,6.290135007,-9.122210283,132,-15.41234529,NaN,324.8466582,1148,1196,12.63475695,18.09214594,148,5.457388994,93.92621503,180.7956013,2124,2208,18.34239078,0.929318662,124,-17.41307212,NaN,339.7144893
AE09,5,1,1,1252,1296,3.528399613,-7.720317197,252,-11.24871681,98.42414216,359.8010634,2244,2300,-7.734821691,7.717899685,244,15.45272138,NaN,399.1319122,1252,1296,1.28245029,-9.230322351,252,-10.51277264,91.98477002,332.6228851,2248,2300,-9.862387723,7.086007832,248,16.94839555,NaN,442.0883203,1252,1296,2.405424952,-8.475319774,252,-10.88074473,95.20445613,346.2119742,2244,2300,-8.818914657,7.401953758,244,16.22086841,NaN,420.6101162,1176,1240,24.21651793,11.1931271,176,-13.02339083,113.9522038,357.4491574,2176,2256,11.64946967,27.42902767,176,15.779558,NaN,339.5458062,1180,1244,-0.202184756,-10.17345112,180,-9.971266367,87.24669267,243.4236778,2168,2244,-11.76064841,7.103611715,168,18.86426013,NaN,388.4309309,1180,1244,11.92840434,0.45238507,180,-11.47601927,100.4129956,295.1080774,2172,2252,-0.037250131,17.28420082,172,17.32145095,NaN,360.2507449
AE09,6,1,1,1252,1292,3.437644504,12.99548312,252,9.557838612,77.80064582,320.2297667,2172,2240,14.01728374,-7.442124044,172,-21.45940778,NaN,459.4001722,1252,1296,1.117573572,12.14650103,252,11.02892746,89.77528434,382.7932881,2172,2240,12.72873146,-8.082626297,172,-20.81135776,NaN,448.162714,1252,1296,2.277609038,12.61421948,252,10.33661044,84.13983542,350.6897838,2172,2240,13.3730076,-7.762375171,172,-21.13538277,NaN,453.1190472,1204,1268,24.67432994,33.90995086,204,9.235620913,75.17779916,245.3324803,2112,2204,35.05404635,11.14592587,112,-23.90812048,NaN,413.9362899,1200,1260,0.256870767,12.95070156,200,12.69383079,103.3275695,311.0344911,2120,2212,13.16996536,-7.169233366,120,-20.33919872,NaN,329.5178383,1200,1264,12.39791909,23.40719341,200,11.00927432,89.61530811,262.2185764,2112,2208,24.22297989,2.022492895,112,-22.200487,NaN,368.2578394
AE09,7,1,1,1232,1256,3.427832098,7.7396563,232,4.311824202,74.21008978,233.7241411,2236,2284,8.641708789,-5.74892662,236,-14.39063541,NaN,383.8296231,1232,1256,1.196323139,6.036371531,232,4.840048392,83.30126853,255.5851586,2232,2284,6.542303639,-7.323481498,232,-13.86578514,NaN,380.3010476,1232,1256,2.312077618,6.888013916,232,4.575936297,78.75567915,244.6546498,2232,2284,7.629297179,-6.536204059,232,-14.16550124,NaN,382.0653354,1168,1212,25.01095611,29.0144196,168,4.003463488,68.90294477,128.9063374,2164,2240,30.62401141,14.08631027,164,-16.53770113,NaN,383.4661901,1164,1212,0.195251463,5.602350477,164,5.407099014,93.06068255,177.6934113,2172,2244,5.744562573,-7.69798578,172,-13.44254835,NaN,296.2362361,1168,1212,12.68267804,17.30838504,168,4.625706997,79.6122744,151.4749298,2168,2244,18.17248897,3.133506994,168,-15.03898198,NaN,332.4377514
AE09,8,1,1,1240,1280,3.435191422,13.7086458,240,10.27345438,89.45245217,331.917689,2220,2268,13.88279069,0.059086252,220,-13.82370444,NaN,402.2936248,1240,1280,1.090502418,12.82005237,240,11.72954995,102.1308868,389.6934081,2220,2268,12.2170702,-1.506352789,220,-13.72342299,NaN,411.5751248,1240,1280,2.26284692,13.26434909,240,11.00150217,95.79166951,359.0583593,2220,2268,13.04993044,-0.723633269,220,-13.77356371,NaN,406.9343748,1184,1248,25.84503523,34.91442131,184,9.069386083,78.96845548,222.6271189,2152,2224,36.25392984,21.13462715,152,-15.11930269,NaN,337.0627553,1176,1240,-0.425769557,12.82226118,176,13.24803073,115.3525184,362.4541939,2160,2232,11.79444282,-1.808518356,160,-13.60296118,NaN,292.9360501,1180,1244,12.73543104,23.85216457,180,11.11673353,96.79500562,287.8707982,2156,2228,24.00276844,9.674334287,156,-14.32843415,NaN,298.2222435
AE09,9,1,1,1268,1320,3.391033788,-9.304662745,268,-12.69569653,104.2882128,378.3392303,2240,2304,-8.975890606,11.88035598,240,20.85624658,NaN,431.3771095,1268,1316,1.216009835,-10.86291302,268,-12.07892286,99.22175401,340.5615193,2240,2308,-10.91039521,11.7223064,240,22.6327016,NaN,484.9170242,1268,1316,2.303521812,-9.99983292,268,-12.30335473,101.0653392,359.4503748,2240,2304,-9.943142907,11.76827901,240,21.71142192,NaN,458.1470669,1200,1268,25.42046679,10.22835996,200,-15.19210683,124.79486,367.3642022,2172,2268,11.72445151,32.94602244,172,21.22157092,NaN,373.3733042,1200,1276,-0.522534423,-12.08563379,200,-11.56309936,94.98454569,248.6685215,2160,2256,-13.37197607,12.22116344,160,25.59313951,NaN,412.180427,1200,1272,12.44896619,-0.900417965,200,-13.34938415,109.6578996,305.2608851,2164,2260,-0.866765066,22.47712985,164,23.34389492,NaN,374.2692202
AE09,10,1,1,1320,1360,3.651013409,12.14650103,320,8.495487624,73.97143865,289.3821661,2212,2264,13.68308274,-3.324789792,212,-17.00787253,NaN,439.1640317,1320,1360,1.250460861,11.05512197,320,9.804661109,85.37060141,331.1023312,2212,2264,12.0853108,-4.410428951,212,-16.49573975,NaN,440.9207526,1320,1360,2.450737135,11.6008115,320,9.150074366,79.67102002,310.2422487,2212,2264,12.88419677,-3.867609371,212,-16.75180614,NaN,439.8696462,1240,1300,25.99550134,34.02211783,240,8.02661649,69.88890992,201.6186519,2120,2196,36.39800813,17.45172011,120,-18.94628803,NaN,385.9087209,1232,1296,0.120241593,11.25209757,232,11.13185598,96.92667898,298.0003623,2128,2208,11.94133646,-4.414474897,128,-16.35581136,NaN,363.0890017,1236,1296,13.07487361,22.56461443,236,9.489740821,82.62854494,239.5099309,2124,2204,24.13749603,6.507801952,124,-17.62969407,NaN,364.418931
