subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_gain,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_amp,AH_Avg_P2_vel
AE03,1,1,1,1220,1252,-9.570588609,-5.617286245,220,3.953302364,68.03963,170.9729969,2232,2284,-5.2220134,-14.721913,232,-9.499899597,NaN,247.8786574,1220,1252,-10.83679137,-6.398894656,220,4.437896719,76.37990291,173.6437224,2232,2284,-6.539873659,-16.49842497,232,-9.958551311,NaN,263.3455319,1220,1252,-10.20368999,-6.008090451,220,4.195599541,72.20976645,171.7907179,2232,2284,-5.88094353,-15.61016898,232,-9.729225454,NaN,254.8510602,1168,1212,11.34801738,16.58148298,168,5.233465601,90.07230673,182.7212099,2180,2244,17.03114158,1.856617434,180,-15.17452414,NaN,349.6454402,1168,1212,6.939180002,12.43110464,168,5.49192464,94.5206023,175.4111648,2180,2248,12.12251508,-0.704522826,180,-12.8270379,NaN,306.3099778,1168,1212,9.143598689,14.50629381,168,5.36269512,92.29645451,176.8921222,2180,2248,14.57682833,0.512922139,180,-14.06390619,NaN,325.4244337
AE03,2,1,1,1204,1228,-9.244713269,-7.132068029,204,2.11264524,72.0542858,102.5992561,2228,2280,-7.541347126,-16.95003364,228,-9.408686516,NaN,239.6030779,1204,1228,-10.86053851,-8.583947654,204,2.27659086,77.64584672,109.5747716,2228,2280,-8.728317281,-18.90873576,228,-10.18041848,NaN,251.0953805,1204,1228,-10.05262589,-7.858007841,204,2.19461805,74.85006626,106.0870139,2228,2280,-8.134832204,-17.9293847,228,-9.794552499,NaN,245.2820991,1148,1184,12.81969271,15.34268109,148,2.522988381,86.04952807,95.15242195,2168,2236,14.39870044,-1.957742809,168,-16.35644325,NaN,374.5324952,1152,1184,7.787754778,10.44063855,152,2.652883771,90.47976528,110.4444041,2172,2236,9.458315768,-3.423001718,172,-12.88131749,NaN,316.4796165,1148,1184,10.23753542,12.89165982,148,2.654124405,90.52207858,102.798413,2172,2236,11.84119967,-2.690372263,172,-14.53157193,NaN,342.6161925
AE03,3,1,1,1204,1248,-9.29746989,-17.01083626,204,-7.713366375,67.49049527,235.6374416,2212,2264,-17.04909916,-6.998710675,212,10.05038849,NaN,255.9043501,1204,1248,-10.88428188,-19.09141647,204,-8.207134591,71.81087366,249.6552065,2212,2268,-19.17711561,-8.130885693,212,11.04622991,NaN,273.3763709,1204,1248,-10.09087588,-18.05112637,204,-7.960250483,69.65068446,242.646324,2212,2264,-18.11310738,-7.629919277,212,10.48318811,NaN,264.6403605,1128,1188,12.45963941,-1.173944462,128,-13.63358388,119.2912775,355.6628939,2136,2208,-0.878914807,15.12946254,136,16.00837734,NaN,372.8036533,1132,1188,7.02658636,-3.721865444,132,-10.7484518,94.04691805,289.4776651,2136,2204,-4.01591415,10.62850635,136,14.6444205,NaN,325.6766707,1132,1188,9.662234052,-2.447904953,132,-12.11013901,105.9614233,317.9933589,2136,2208,-2.447414478,12.94994435,136,15.39735883,NaN,346.8176065
AE03,4,1,1,1196,1224,-9.345416659,-5.319659453,196,4.025757206,69.28663825,176.6088758,2220,2280,-5.585586103,-17.38154694,220,-11.79596084,NaN,272.5923821,1196,1228,-10.97684478,-6.768187344,196,4.208657435,72.43450369,180.7753455,2220,2280,-7.245966487,-19.42272993,220,-12.17676345,NaN,283.554198,1196,1228,-10.16113072,-6.024396031,196,4.136734688,71.19665325,178.6921106,2220,2280,-6.415776295,-18.40213844,220,-11.98636214,NaN,277.127366,1108,1148,12.25585221,17.36780078,108,5.111948574,87.98089737,193.3590868,2132,2204,17.26109898,-2.183246705,132,-19.44434568,NaN,392.1923352,1108,1148,7.327081968,12.37691777,108,5.049835804,86.91188481,179.332833,2132,2208,11.74134497,-4.100377613,132,-15.84172259,NaN,318.8085683,1108,1148,9.791467089,14.87235928,108,5.080892189,87.44639109,184.5232128,2132,2204,14.50122197,-3.060417616,132,-17.56163959,NaN,354.9408363
AE03,5,1,1,1208,1252,-9.355004431,-16.60926662,208,-7.254262188,63.47342056,230.8362414,2220,2280,-17.16828871,-5.785482645,220,11.38280606,NaN,275.9939375,1208,1252,-10.99819723,-18.68147982,208,-7.683282587,67.22726782,244.1386357,2220,2280,-19.29562886,-7.015687693,220,12.27994117,NaN,288.9098596,1208,1252,-10.17660083,-17.64537322,208,-7.468772388,65.35034419,237.4874385,2220,2280,-18.23195878,-6.400585169,220,11.83137361,NaN,281.0150873,1132,1188,12.09933007,-0.794834565,132,-12.89416464,112.8214991,359.6572904,2144,2216,-1.031000203,16.68958419,144,17.72058439,NaN,382.5681579,1132,1188,7.134594146,-3.064743072,132,-10.19933722,89.24226945,282.5726755,2144,2216,-4.111454725,12.23510647,144,16.3465612,NaN,362.7002448,1132,1188,9.61696211,-1.929788818,132,-11.54675093,101.0318843,317.2552122,2144,2216,-2.571227464,14.46234533,144,17.03357279,NaN,366.0474564
AE03,6,1,1,1204,1252,-9.424499935,-1.211088188,204,8.213411747,66.85703371,246.8443117,2120,2160,-0.216648634,-5.904865911,120,-5.688217277,NaN,168.8945863,1208,1256,-10.78691012,-2.00565172,208,8.781258403,71.47929596,261.2399683,2116,2160,-0.969906986,-7.867732852,116,-6.897825866,NaN,217.8026035,1208,1252,-9.994223557,-1.727609139,208,8.266614419,67.29010257,254.04214,2116,2160,-0.567427854,-6.886299381,116,-6.318871527,NaN,192.4525055,1104,1164,12.49836898,22.95468356,104,10.45631458,85.11422511,290.8841396,2016,2156,24.29224051,-0.849153529,16,-25.14139404,NaN,353.4311163,1108,1164,7.653015823,17.84374931,108,10.19073349,82.9523995,259.4068621,2020,2072,18.77258778,11.48832319,20,-7.284264588,NaN,200.5863651,1108,1164,10.15765822,20.39921643,108,10.24155821,83.36611187,275.1455009,2020,2156,21.45475823,-1.362992571,20,-22.8177508,NaN,324.273714
AE03,7,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2196,2256,-5.295250823,-15.70531929,196,-10.41006846,NaN,247.6533044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2196,2252,-6.75119261,-17.5249364,196,-10.77374379,NaN,261.6994059,1256,1280,-2.689978556,-5.565676037,256,-2.875697482,NaN,144.4615463,2196,2256,-6.023221716,-16.70793835,196,-10.68471663,NaN,253.1210483,1200,1236,22.49380912,18.77093676,200,-3.722872357,NaN,150.9311087,2140,2208,18.06843767,1.44593789,140,-16.62249978,NaN,386.6193325,1200,1232,16.48830424,13.26775473,200,-3.220549506,NaN,131.1047813,2140,2212,12.35805709,-1.546609191,140,-13.90466628,NaN,271.9356042,1200,1236,19.49105668,15.94666915,200,-3.54438753,NaN,141.017945,2140,2212,15.21324738,-0.117439991,140,-15.33068737,NaN,322.3898434
AE03,8,1,1,1200,1240,-9.419708037,-1.794158871,200,7.625549166,66.39675876,249.0937165,2268,2296,-14.6804523,-11.44824125,268,3.232211056,NaN,147.7575193,1200,1240,-10.38726989,-2.025322783,200,8.361947111,72.8086821,272.5779392,2268,2296,-16.38972209,-12.70764804,268,3.682074048,NaN,156.9389213,1200,1240,-9.903488965,-1.909740827,200,7.993748138,69.60272043,260.8358278,2268,2296,-15.5350872,-12.07794465,268,3.457142552,NaN,152.3482203,1116,1168,11.80877591,21.3802581,116,9.571482191,83.34027886,269.4434059,2180,2224,2.285776559,7.899386236,180,5.613609678,NaN,192.7141592,1116,1168,8.262483833,18.1028006,116,9.840316764,85.68106035,308.4822057,2180,2224,0.427100676,5.620712874,180,5.193612198,NaN,180.7349161,1116,1168,10.03562987,19.74152935,116,9.705899477,84.5106696,288.3935148,2180,2224,1.356438617,6.760049555,180,5.403610938,NaN,183.349473
AE03,9,1,1,1012,1084,15.22507889,-4.652638035,12,-19.87771692,163.2845877,354.6619304,2196,2228,-6.6054748,-1.31443892,196,5.291035881,NaN,218.8054226,1012,1080,16.07652683,-4.05294577,12,-20.1294726,165.3526231,385.8321578,2196,2228,-7.521990078,-1.641656604,196,5.880333474,NaN,239.589454,1012,1080,15.65080286,-4.333224981,12,-19.98402784,164.1578738,349.5445452,2196,2228,-7.063732439,-1.478047762,196,5.585684677,NaN,229.1974383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2120,2168,15.38727339,21.66463052,120,6.277357132,NaN,199.6041637,944,1020,33.44177196,16.15089535,-56,-17.29087661,142.0351074,328.7853528,2124,2168,11.88995669,18.62298664,124,6.733029951,NaN,230.9900167,940,1020,37.52907861,16.98813618,-60,-20.54094243,168.732623,412.4681725,2124,2168,13.71759614,20.14380858,124,6.426212445,NaN,209.1158671
AE03,10,1,1,1188,1228,-9.136752819,-1.481750245,188,7.655002574,66.65321384,263.9231426,2276,2288,-14.26267372,-13.478379,276,0.784294719,NaN,64.7294177,1188,1232,-10.64905707,-2.295749469,188,8.353307602,72.73345665,277.3083514,2272,2292,-16.62056982,-15.34191307,272,1.278656745,NaN,72.07339745,1188,1228,-9.892904945,-1.979683149,188,7.913221796,68.90156593,270.615747,2272,2288,-15.52480995,-14.49250598,272,1.032303964,NaN,68.40140757,1128,1184,11.96220725,21.99610673,128,10.03389948,87.36661304,286.3742051,2212,2244,2.895799332,5.183297298,212,2.287497967,NaN,79.53715967,1128,1180,7.930922014,17.81573593,128,9.884813914,86.06850346,285.8584089,2216,2240,0.434518413,2.018700781,216,1.584182367,NaN,78.82741766,1128,1180,9.946564633,19.82738399,128,9.88081936,86.03372231,286.116307,2216,2244,1.800936361,3.657883318,216,1.856946956,NaN,77.10423444
