subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_gain,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_gain,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_gain,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_gain,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_gain,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_gain,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_gain,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_gain,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_gain,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_gain,AH_Left_P2_amp,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_gain,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_gain,AH_Avg_P2_vel
AE10,1,1,1,1224,1256,-0.268348193,5.041288399,224,5.309636592,91.383273,209.1122554,2228,2288,5.300132703,-7.17569546,228,-12.47582816,NaN,275.5178462,1224,1256,0.854225727,6.240808516,224,5.386582789,92.70758121,215.2300797,2228,2288,6.610333454,-5.617286245,228,-12.2276197,NaN,272.2547662,1224,1256,0.292938767,5.641048458,224,5.34810969,92.04542709,212.1711676,2228,2288,5.955233079,-6.396490852,228,-12.35172393,NaN,273.8531467,1152,1204,-2.975476591,5.201309883,152,8.176786474,140.7293131,284.7494265,2160,2236,7.299227345,-15.9211147,160,-23.22034205,NaN,534.9205317,1156,1196,15.83230677,19.31461603,156,3.482309263,59.93344601,120.5584643,2168,2236,19.53291617,12.38655051,168,-7.146365654,NaN,145.489799,1156,1204,6.496662446,12.32743412,156,5.830771676,100.3524423,202.6539454,2164,2236,13.3708541,-1.767282094,164,-15.1381362,NaN,329.7501781
AE10,2,1,1,1236,1256,-0.502220455,1.735128633,236,2.237349088,76.30745928,123.8848968,2248,2312,1.887615573,-10.84391591,248,-12.73153149,NaN,266.13896,1236,1260,0.89360741,3.481797824,236,2.588190413,88.27332114,133.0439788,2244,2312,3.314975105,-9.773945134,244,-13.08892024,NaN,261.7920119,1236,1260,0.195693478,2.668721236,236,2.473027758,84.34556143,128.4644378,2244,2312,2.652936609,-10.30893052,244,-12.96186713,NaN,263.965486,1180,1224,-3.060141794,0.791357727,180,3.851499521,131.3599851,127.3990609,2188,2268,1.905488532,-21.15845024,188,-23.06393877,NaN,465.8556078,1188,1212,16.51382646,17.97812665,188,1.464300194,49.94170469,69.51882154,2200,2276,17.72526559,9.885893973,200,-7.839371619,NaN,138.683062,1184,1220,6.755061842,9.38260703,184,2.627545188,89.61556269,98.45894124,2188,2272,9.94218076,-5.596374266,188,-15.53855503,NaN,300.4212847
AE10,3,1,1,1204,1256,-0.379131382,-9.661531336,204,-9.282399954,81.21924199,228.2072621,2192,2252,-10.36821357,2.172840209,192,12.54105378,NaN,278.890265,1200,1252,0.667152342,-8.697046608,200,-9.36419895,81.93496771,234.014829,2192,2252,-10.07493296,3.383673789,192,13.45860675,NaN,295.1527614,1200,1256,0.183399937,-9.2370064,200,-9.420406337,82.42677171,231.1110455,2192,2252,-10.22157327,2.778256999,192,12.99983026,NaN,287.0215132,1132,1204,-1.172825162,-18.84403246,132,-17.6712073,154.6197179,430.5722846,2116,2216,-18.76239647,1.888992291,116,20.65138876,NaN,378.1939147,1140,1200,15.99507939,10.37489692,140,-5.620182466,49.1755324,116.8693358,2124,2188,8.425165096,18.2789998,124,9.853834703,NaN,215.86264,1132,1204,7.489920633,-4.299766726,132,-11.78968736,103.157532,271.7507936,2120,2208,-5.126217182,9.968100043,120,15.09431723,NaN,297.0282774
AE10,4,1,1,1200,1236,0.187105865,5.441673389,200,5.254567524,90.43548842,199.9508346,2236,2308,5.292809854,-10.14890013,236,-15.44170999,NaN,285.1036528,1200,1236,0.379131382,5.74892662,200,5.369795238,92.41865346,197.7896288,2236,2308,5.458751416,-9.766772046,236,-15.22552346,NaN,274.4488264,1200,1236,0.283118624,5.595300004,200,5.312181381,91.42707094,196.775119,2236,2308,5.375780635,-9.957836089,236,-15.33361672,NaN,279.7762396,1140,1200,1.814267076,9.597426479,140,7.783159403,133.954663,241.1429092,2168,2260,9.810680724,-19.04829584,168,-28.85897657,NaN,563.9267641,1140,1180,15.79389634,19.21166942,140,3.417773075,58.82272441,127.868465,2180,2264,18.9599357,10.09045745,180,-8.869478249,NaN,141.5529442,1140,1188,8.80408171,14.22142468,140,5.41734297,93.23698957,178.809968,2172,2260,14.4040903,-4.406659338,172,-18.81074964,NaN,342.018696
AE10,5,1,1,1208,1268,-0.105862785,-10.06538633,208,-9.959523544,87.14394519,229.8217184,2108,2164,-10.03435589,0.324971015,108,10.3593269,NaN,240.8533964,1208,1264,0.457908863,-9.656746098,208,-10.11465496,88.5013157,230.4059932,2108,2168,-10.05345225,1.309517645,108,11.36296989,NaN,256.6336932,1208,1268,0.176023039,-9.948352507,208,-10.12437555,88.58636903,229.8884517,2108,2164,-10.04390407,0.748342693,108,10.79224676,NaN,247.4824949,1156,1228,-0.026323165,-18.97822607,156,-18.95190291,165.8255619,462.4814874,2056,2132,-18.03054687,-0.827050869,56,17.203496,NaN,367.117467,1164,1232,15.81312338,9.726752252,164,-6.086371128,53.25459492,133.851172,2060,2120,8.710788851,16.62785035,60,7.917061503,NaN,186.0119591,1160,1228,7.835398621,-4.558684938,160,-12.39408356,108.4458843,285.2688043,2056,2128,-4.719405782,7.9188899,56,12.63829568,NaN,262.0384452
AE10,6,1,1,1312,1360,0.189567766,10.84866542,312,10.65909765,86.7648759,281.3647457,2228,2324,12.07824859,-10.32056263,228,-22.39881122,NaN,339.889508,1312,1360,0.462832402,11.15468705,312,10.69185465,87.03151733,282.7015904,2228,2324,11.50498839,-10.29673175,228,-21.80172014,NaN,306.2250657,1312,1360,0.326200084,11.00167623,312,10.67547615,86.89819661,281.8822288,2228,2324,11.79161849,-10.30864719,228,-22.10026568,NaN,320.0199247,1204,1296,0.657725637,16.38093029,204,15.72320465,127.9866218,317.141675,2120,2232,19.90483836,-19.72774889,120,-39.63258724,NaN,599.6791185,1208,1260,15.98806088,21.80545322,208,5.817392341,47.35347598,166.199598,2136,2240,21.67649502,9.652163433,136,-12.02433159,NaN,175.235709,1208,1276,8.41245305,18.72288566,208,10.31043261,83.92674832,233.5212093,2124,2236,20.84283402,-5.021106437,124,-25.86394046,NaN,361.7666571
AE10,7,1,1,1224,1260,0.342203927,5.551443653,224,5.209239726,89.65535922,207.3457702,2212,2284,5.765986685,-7.981244054,212,-13.74723074,NaN,263.9359643,1224,1260,0.376669561,5.531931903,224,5.155262342,88.72636344,195.5247735,2208,2280,5.488025768,-7.952268429,208,-13.4402942,NaN,256.8065874,1224,1260,0.359436744,5.541687778,224,5.182251034,89.19086133,201.4352719,2212,2284,5.595290539,-8.009006614,212,-13.60429715,NaN,259.6776049,1160,1220,1.214683612,9.156687572,160,7.94200396,136.6885103,213.9609339,2148,2240,10.29019873,-15.73855988,148,-26.02875861,NaN,483.0943539,1168,1208,15.67573454,18.94137942,168,3.265644883,56.20447138,108.5582347,2160,2236,18.69572768,10.70641509,160,-7.989312582,NaN,129.3841018,1164,1216,8.491810614,13.99837628,164,5.506565666,94.77258656,161.2595843,2152,2236,14.49073056,-2.423391181,152,-16.91412174,NaN,301.276659
AE10,8,1,1,1316,1368,0.674537114,10.87953351,316,10.20499639,88.85637856,262.9949169,2216,2284,11.92042905,-2.175298594,216,-14.09572764,NaN,290.1658763,1316,1368,0.162486814,9.843269008,316,9.680782194,84.29196979,243.3287873,2216,2280,10.72512946,-2.283459475,216,-13.00858893,NaN,283.5511065,1316,1368,0.418511964,10.36140126,316,9.942889294,86.57417419,253.1618521,2216,2284,11.32277925,-2.25887405,216,-13.5816533,NaN,286.5534979,1264,1352,1.474950427,16.89836448,264,15.42341405,134.2938954,286.3990472,2164,2244,20.89650006,-4.119380281,164,-25.01588034,NaN,491.8609849,1264,1316,15.3299649,21.15895619,264,5.828991291,50.75386967,151.4060622,2172,2240,21.20284646,14.15128798,172,-7.051558482,NaN,156.2430775,1264,1332,8.402457664,18.62707609,264,10.22461842,89.02723041,217.5450601,2168,2244,21.00486478,4.957689952,168,-16.04717483,NaN,311.5605055
AE10,9,1,1,1232,1292,0.836995984,-9.549042393,232,-10.38603838,85.31563263,238.2185956,2224,2308,-9.867167055,11.84262937,224,21.70979642,NaN,322.8059194,1232,1292,0.694229728,-9.910174798,232,-10.60440453,87.10939129,244.5135733,2224,2308,-10.70611494,11.61605188,224,22.32216682,NaN,345.6572897,1232,1292,0.765612856,-9.729608596,232,-10.49522145,86.21251192,241.3660844,2224,2308,-10.286641,11.72934062,224,22.01598162,NaN,332.3612522,1156,1232,0.469302187,-19.18206107,156,-19.65136326,161.425216,428.2795555,2148,2256,-19.18611807,13.81996229,148,33.00608037,NaN,464.9629714,1164,1232,15.23888705,9.022906902,164,-6.215980145,51.06088184,122.1310906,2144,2232,7.197871129,21.73365244,144,14.53578131,NaN,238.1677313,1160,1232,7.799024281,-5.079577083,160,-12.87860136,105.7906761,270.2133889,2148,2252,-5.914621297,17.84775193,148,23.76237323,NaN,351.2631599
AE10,10,1,1,1212,1260,0.425905704,10.47299453,212,10.04708883,87.48145461,276.172791,2220,2292,11.60424081,-5.229337916,220,-16.83357872,NaN,318.8661256,1212,1264,0.583456773,10.55153382,212,9.968077048,86.79348761,276.6466313,2220,2288,11.05749336,-4.637963352,220,-15.69545671,NaN,291.1246939,1212,1260,0.504681239,10.44561299,212,9.940931755,86.55712962,276.4097112,2220,2292,11.33086708,-4.976447464,220,-16.30731455,NaN,304.1429404,1148,1244,-0.578824068,14.85970459,148,15.43852865,134.4255004,324.3765595,2156,2240,20.16377747,-9.418894662,156,-29.58267213,NaN,545.0852489,1152,1200,16.14626486,21.54373786,152,5.397472995,46.9965775,150.1270577,2168,2244,21.54854542,13.22946956,168,-8.319075857,NaN,150.0796876,1148,1212,7.720841038,17.41981116,148,9.698970125,84.45033473,220.2127006,2160,2240,20.8662278,1.975815012,160,-18.89041279,NaN,333.3877137
