,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,564,576,680,695,2.26,2.264,2.2520000000000002,2.2560000000000002,14.80164215992058,2.682837694725041,26.215200186501427,14.99431097223377,-12.118804465195538,-11.220889214267658,364.96123537403236,307.95039043335845,AE06,VMS,0,0.9224464760663713
1,313,319,429,437,1.256,1.26,1.248,1.252,12.321830060535886,15.19530088643583,24.033314882099365,26.225317290573518,2.8734708258999433,2.1920024084741527,134.33869663022077,78.67014458896844,AE06,VMS,0,0.9224464760663713
0,553,564,698,712,2.216,2.22,2.1959999999999997,2.1999999999999997,9.57952747420251,19.828269935901417,21.744920673374907,31.540983999152743,10.248742461698907,9.796063325777837,343.46110031909495,264.4015078046616,AE06,VMS,1,0.913442593328683
1,310,317,455,463,1.244,1.248,1.2240000000000002,1.2280000000000002,12.086903112286674,8.808818736251313,23.49524222999452,20.74482143285243,-3.278084376035361,-2.750420797142091,153.05501355296988,121.72183583247076,AE06,VMS,1,0.913442593328683
0,556,570,747,765,2.228,2.232,2.2119999999999997,2.216,3.3044175584373185,20.34884098089232,17.132315919047503,33.105194788685154,17.044423422455,15.97287886963765,466.8385443402341,345.3652243898343,AE06,VMS,2,0.9525470737208865
1,308,317,499,511,1.236,1.24,1.22,1.224,12.511112755750716,3.605926384437966,24.05362999977625,16.242640243884505,-8.90518637131275,-7.810989755891743,350.8242052722515,241.5634053690403,AE06,VMS,2,0.9525470737208865
0,553,564,762,777,2.216,2.22,2.204,2.208,15.488653042942282,4.791741737255535,26.71545060586444,16.752299734011526,-10.696911305686747,-9.963150871852914,360.49038277213987,294.83276866693365,AE06,VMS,3,0.8582375362503581
1,309,315,519,527,1.24,1.244,1.2320000000000002,1.2360000000000002,12.670908117886873,15.208536769528514,24.440842724441058,26.778050005502223,2.5376286516416418,2.337207281061165,134.61221229323849,89.60653688055557,AE06,VMS,3,0.8582375362503581
0,554,574,748,770,2.22,2.224,2.2119999999999997,2.216,21.226422066843803,5.014035578972974,33.170917177160995,17.20853147441451,-16.21238648787083,-15.962385702746484,381.7347566053789,384.72632806104883,AE06,VMS,4,0.9646917971161947
1,302,311,496,510,1.212,1.216,1.204,1.208,13.223210432088052,20.941984040906725,24.95929471917659,32.69906069898876,7.7187736088186725,7.739765979812169,288.1198771151709,215.62380568763473,AE06,VMS,4,0.9646917971161947
0,560,573,783,800,2.244,2.248,2.232,2.236,18.557721848308347,5.877396364991974,30.492335411823472,18.130981639704714,-12.680325483316373,-12.361353772118758,344.20387652642086,286.35316549932855,AE06,VMS,5,0.9480011500616953
1,310,318,534,545,1.244,1.248,1.2360000000000002,1.2400000000000002,13.412218297998908,18.830140819548642,25.031228710228447,30.21746902105125,5.417922521549734,5.186240310822804,223.6977701924984,175.0586625209074,AE06,VMS,5,0.9480011500616953
0,555,576,775,798,2.224,2.228,2.208,2.212,21.41654868479697,4.33111651147608,34.20241472041857,16.858047231253746,-17.085432173320893,-17.34436748916482,316.1816305070421,435.8830921528128,AE06,VMS,6,0.9227363444238205
1,308,317,530,542,1.236,1.24,1.2280000000000002,1.2320000000000002,13.174031423143642,21.31152596924018,25.231422551520456,33.58297145199394,8.137494546096537,8.351548900473485,300.80902259135615,327.15187721082935,AE06,VMS,6,0.9227363444238205
0,552,565,547,564,2.212,2.216,2.196,2.2,18.66147515087281,6.123609429359995,31.13104244039158,18.47890828270191,-12.537865721512816,-12.652134157689673,366.09288479148364,385.17010919033663,AE06,VMS,7,0.9492219778608686
1,299,307,297,308,1.2,1.204,1.196,1.2,13.243021469925477,19.087262667894663,25.157834796544314,30.988457706273923,5.844241197969186,5.830622909729609,235.1295687299979,262.24337266007666,AE06,VMS,7,0.9492219778608686
