,Subject,EL,ML
0,AE01,612.6151023868395,548.0924069777931
1,AE02,428.92924851384464,523.2013172431799
2,AE03,514.5677798585201,305.0386574245862
3,AE04,339.6061192360026,339.5587670503773
4,AE05,282.4947478957336,320.90937992138805
5,AE06,628.2675978730151,459.4992310649472
6,AE07,560.2022228052735,351.99661770676005
7,AE08,899.8752873817004,343.5798969888527
8,AE09,589.8069737220163,487.68825061313515
9,AE10,328.1309691087386,185.39202677960827
10,AE11,581.538819975391,701.2236818719962
11,AE12,255.07197427077855,260.2525979489765
12,AE13,441.63129299297475,527.649184140008
