,subject,source,freq,left,right,gain
3,1,eyelink,0.01,0.436628178,0.536175294,0.099547116
4,1,eyelink,0.1,0.609341902,0.604264452,-0.00507745
5,1,eyelink,0.2,0.7005501,0.689648593,-0.010901507
9,2,eyelink,0.01,0.584604365,0.655933179,0.071328814
10,2,eyelink,0.1,0.737092661,0.790127259,0.053034598
11,2,eyelink,0.2,0.757871216,0.772784837,0.014913621
15,3,eyelink,0.01,0.85718069,0.793473529,-0.063707161
16,3,eyelink,0.1,0.681748985,0.631736251,-0.050012734
17,3,eyelink,0.2,0.520723502,0.474306466,-0.046417035
21,4,eyelink,0.01,0.86586743,0.835263674,-0.030603756
22,4,eyelink,0.1,0.697496945,0.677379809,-0.020117136
23,4,eyelink,0.2,0.745222427,0.731308377,-0.01391405
27,5,eyelink,0.01,1.00298639,0.945597702,-0.057388687
28,5,eyelink,0.1,0.660173383,0.638876791,-0.021296591
29,5,eyelink,0.2,0.667669603,0.625341363,-0.04232824
33,6,eyelink,0.01,0.409445156,0.642474221,0.233029066
34,6,eyelink,0.1,0.745806831,0.699277755,-0.046529076
35,6,eyelink,0.2,0.64133547,0.645230766,0.003895295
39,7,eyelink,0.01,0.54185656,0.405542699,-0.136313861
40,7,eyelink,0.1,0.548693292,0.559818377,0.011125086
41,7,eyelink,0.2,0.567355964,0.552313229,-0.015042735
45,8,eyelink,0.01,0.554112985,0.671377885,0.1172649
46,8,eyelink,0.1,0.653882377,0.638189066,-0.015693311
47,8,eyelink,0.2,0.901126788,0.817463416,-0.083663371
51,9,eyelink,0.01,0.161315919,-0.042342709,-0.203658628
52,9,eyelink,0.1,0.648318854,0.606534353,-0.041784501
53,9,eyelink,0.2,0.747831189,0.7270238,-0.020807389
57,10,eyelink,0.01,0.635169692,0.718971607,0.083801914
58,10,eyelink,0.1,0.646607347,0.680713563,0.034106216
59,10,eyelink,0.2,0.557113405,0.551174069,-0.005939336
63,11,eyelink,0.01,1.066798498,0.934417718,-0.132380779
64,11,eyelink,0.1,0.533822859,0.587074928,0.053252069
65,11,eyelink,0.2,0.623919705,0.646565804,0.022646099
69,12,eyelink,0.01,0.428309835,0.326309061,-0.102000774
70,12,eyelink,0.1,0.66552082,0.67573782,0.010217
71,12,eyelink,0.2,0.657564155,0.640139922,-0.017424232
75,13,eyelink,0.01,0.547082605,0.552959632,0.005877027
76,13,eyelink,0.1,0.676058533,0.689648632,0.013590099
77,13,eyelink,0.2,0.750780576,0.784792278,0.034011702
0,1,adhawk,0.01,0.231821928,0.222641991,-0.009179936
1,1,adhawk,0.1,0.949802713,0.359731291,-0.590071422
2,1,adhawk,0.2,0.95337826,0.420137769,-0.533240492
6,2,adhawk,0.01,0.571613596,0.725122328,0.153508732
7,2,adhawk,0.1,0.464266874,0.542275786,0.078008911
8,2,adhawk,0.2,0.536831793,0.593145846,0.056314053
12,3,adhawk,0.01,0.839096159,0.818685792,-0.020410367
13,3,adhawk,0.1,0.522270993,0.586412638,0.064141645
14,3,adhawk,0.2,0.37939028,0.424653074,0.045262794
18,4,adhawk,0.01,1.256119689,0.936124719,-0.319994969
19,4,adhawk,0.1,0.793382319,0.577342238,-0.216040081
20,4,adhawk,0.2,0.809185202,0.615534286,-0.193650917
24,5,adhawk,0.01,,0.925249786,
25,5,adhawk,0.1,,0.70244489,
26,5,adhawk,0.2,,0.727327971,
30,6,adhawk,0.01,0.790740486,0.972574411,0.181833925
31,6,adhawk,0.1,0.696566422,0.654032196,-0.042534226
32,6,adhawk,0.2,0.5837923,0.601448986,0.017656687
36,7,adhawk,0.01,0.429171437,0.464681071,0.035509634
37,7,adhawk,0.1,0.612764777,0.571702167,-0.041062611
38,7,adhawk,0.2,0.536651121,0.517482682,-0.019168439
42,8,adhawk,0.01,0.484033048,0.384567205,-0.099465843
43,8,adhawk,0.1,0.560237885,0.612420142,0.052182256
44,8,adhawk,0.2,0.717932081,0.7102827,-0.007649382
48,9,adhawk,0.01,0.277523217,0.35740276,0.079879543
49,9,adhawk,0.1,0.38971611,0.472634177,0.082918067
50,9,adhawk,0.2,0.691112766,0.681413383,-0.009699383
54,10,adhawk,0.01,0.593059864,0.530453799,-0.062606065
55,10,adhawk,0.1,0.619806983,0.484027311,-0.135779672
56,10,adhawk,0.2,0.528487852,0.434099843,-0.094388008
60,11,adhawk,0.01,0.974186496,0.60753518,-0.366651315
61,11,adhawk,0.1,0.581415267,0.602722128,0.021306861
62,11,adhawk,0.2,0.60338548,0.513090361,-0.090295118
66,12,adhawk,0.01,2.064078806,3.367415936,1.30333713
67,12,adhawk,0.1,0.151731303,0.185098527,0.033367224
68,12,adhawk,0.2,-0.195188609,-0.223087721,-0.027899112
72,13,adhawk,0.01,0.231660801,0.226721836,-0.004938965
73,13,adhawk,0.1,0.271116566,0.432469391,0.161352825
74,13,adhawk,0.2,0.320710306,0.537728535,0.217018229
3,1,ideal,0.01,0.436628178,0.536175294,0
4,1,ideal,0.1,0.609341902,0.604264452,0
5,1,ideal,0.2,0.7005501,0.689648593,0
9,2,ideal,0.01,0.584604365,0.655933179,0
10,2,ideal,0.1,0.737092661,0.790127259,0
11,2,ideal,0.2,0.757871216,0.772784837,0
15,3,ideal,0.01,0.85718069,0.793473529,0
16,3,ideal,0.1,0.681748985,0.631736251,0
17,3,ideal,0.2,0.520723502,0.474306466,0
21,4,ideal,0.01,0.86586743,0.835263674,0
22,4,ideal,0.1,0.697496945,0.677379809,0
23,4,ideal,0.2,0.745222427,0.731308377,0
27,5,ideal,0.01,1.00298639,0.945597702,0
28,5,ideal,0.1,0.660173383,0.638876791,0
29,5,ideal,0.2,0.667669603,0.625341363,0
33,6,ideal,0.01,0.409445156,0.642474221,0
34,6,ideal,0.1,0.745806831,0.699277755,0
35,6,ideal,0.2,0.64133547,0.645230766,0
39,7,ideal,0.01,0.54185656,0.405542699,0
40,7,ideal,0.1,0.548693292,0.559818377,0
41,7,ideal,0.2,0.567355964,0.552313229,0
45,8,ideal,0.01,0.554112985,0.671377885,0
46,8,ideal,0.1,0.653882377,0.638189066,0
47,8,ideal,0.2,0.901126788,0.817463416,0
51,9,ideal,0.01,0.161315919,-0.042342709,0
52,9,ideal,0.1,0.648318854,0.606534353,0
53,9,ideal,0.2,0.747831189,0.7270238,0
57,10,ideal,0.01,0.635169692,0.718971607,0
58,10,ideal,0.1,0.646607347,0.680713563,0
59,10,ideal,0.2,0.557113405,0.551174069,0
63,11,ideal,0.01,1.066798498,0.934417718,0
64,11,ideal,0.1,0.533822859,0.587074928,0
65,11,ideal,0.2,0.623919705,0.646565804,0
69,12,ideal,0.01,0.428309835,0.326309061,0
70,12,ideal,0.1,0.66552082,0.67573782,0
71,12,ideal,0.2,0.657564155,0.640139922,0
75,13,ideal,0.01,0.547082605,0.552959632,0
76,13,ideal,0.1,0.676058533,0.689648632,0
77,13,ideal,0.2,0.750780576,0.784792278,0
