subject,id,trial,source,stream,freq,amp,coeff,slope,slope_tar,gain
1,AE01,1,eyelink,right,0.2,-9,0.995522442175153,10.0451469859553,10.8660298353531,0.924454206197091
1,AE01,1,eyelink,left,0.2,-9,0.985638562814766,9.99261190619756,10.8660298353531,0.919619406315832
1,AE01,1,adhawk,right,0.2,-9,0.995920041109035,9.0362498897684,10.8660298353531,0.831605473819753
1,AE01,1,adhawk,left,0.2,-9,0.930416953047752,7.03308158431387,10.8660298353531,0.647254028461382
1,AE01,2,eyelink,right,0.1,-9,0.999474280813629,-4.54650590059546,-4.98897176530716,0.9113112109015
1,AE01,2,eyelink,left,0.1,-9,0.99969732293971,-4.32257835125134,-4.98897176530716,0.86642670165226
1,AE01,2,adhawk,right,0.1,-9,0.999599297080531,-3.91434456777566,-4.98897176530716,0.784599462958608
1,AE01,2,adhawk,left,0.1,-9,0.998388496053414,-2.77610665909172,-4.98897176530716,0.556448661104179
1,AE01,3,eyelink,right,0.1,-9,0.999624186683209,-4.68991737283894,-4.98897176530716,0.940056908209459
1,AE01,3,eyelink,left,0.1,-9,0.999702654528164,-4.50495999124718,-4.98897176530716,0.902983661397774
1,AE01,3,adhawk,right,0.1,-9,0.999625073202647,-4.14718476639725,-4.98897176530716,0.831270442385821
1,AE01,3,adhawk,left,0.1,-9,0.998442304665948,-2.70476542164373,-4.98897176530716,0.542148873331457
1,AE01,4,eyelink,right,0.2,9,0.998296060679459,-9.28094177087226,-10.8660298353531,0.854124451294648
1,AE01,4,eyelink,left,0.2,9,0.997996494847009,-9.20985472650907,-10.8660298353531,0.847582315349843
1,AE01,4,adhawk,right,0.2,9,0.995641989954751,-7.98309445124771,-10.8660298353531,0.73468364915347
1,AE01,4,adhawk,left,0.2,9,0.631115592403209,-18.1276201205251,-10.8660298353531,1.66828366893914
1,AE01,5,eyelink,right,0.01,9,0.998220232534121,0.514502033217418,0.565149628070223,0.910381972601225
1,AE01,5,eyelink,left,0.01,9,0.99516734291542,0.540478288844744,0.565149628070223,0.956345473835446
1,AE01,5,adhawk,right,0.01,9,0.995037959427492,0.199318302228022,0.565149628070223,0.352682355836666
1,AE01,5,adhawk,left,0.01,9,0.946301964781534,1.95059386578242,0.565149628070223,3.45146447754549
1,AE01,6,eyelink,right,0.1,9,0.999683050821495,4.26693256802451,4.98897176530716,0.855272943754935
1,AE01,6,eyelink,left,0.1,9,0.999363412843621,4.14628873847096,4.98897176530716,0.831090840662571
1,AE01,6,adhawk,right,0.1,9,0.999754540784838,4.15087886245226,4.98897176530716,0.832010894773363
1,AE01,6,adhawk,left,0.1,9,0.979896494974222,4.04585124494426,4.98897176530716,0.81095893808795
1,AE01,7,eyelink,right,0.01,-9,0.997453218492717,-0.335638707832347,-0.565149628070223,0.593893530423844
1,AE01,7,eyelink,left,0.01,-9,0.997903302465568,-0.471769500863201,-0.565149628070223,0.834769196388078
1,AE01,7,adhawk,right,0.01,-9,0.98413389540514,-0.308034028245179,-0.565149628070223,0.545048625966545
1,AE01,7,adhawk,left,0.01,-9,0.992490433722524,-0.172363549620963,-0.565149628070223,0.304987460063489
1,AE01,8,eyelink,right,0.2,9,0.992416562062748,-5.6991415448598,-10.8660298353531,0.524491615724944
