subject,id,trial,source,stream,freq,amp,sac_amp
1,AE01,1,eyelink,right,0.2,-9,1.03519245104008
1,AE01,1,eyelink,right,0.2,-9,0.793664209657159
1,AE01,1,eyelink,right,0.2,-9,0.460833944039063
1,AE01,1,eyelink,left,0.2,-9,0.976297232924422
1,AE01,1,eyelink,left,0.2,-9,0.706020357940893
1,AE01,1,eyelink,left,0.2,-9,0.549128297068641
1,AE01,1,adhawk,left,0.2,-9,0.180754443955253
1,AE01,1,adhawk,left,0.2,-9,1.16771109289952
1,AE01,1,adhawk,left,0.2,-9,0.188724312043687
1,AE01,1,adhawk,left,0.2,-9,0.246800840535571
1,AE01,1,adhawk,left,0.2,-9,2.51293385536799
1,AE01,2,adhawk,left,0.1,-9,0.302606320809822
1,AE01,2,adhawk,left,0.1,-9,0.304656438228939
1,AE01,3,adhawk,left,0.1,-9,0.302531577290928
1,AE01,3,adhawk,left,0.1,-9,0.138800670380711
1,AE01,3,adhawk,left,0.1,-9,0.250878959927654
1,AE01,4,eyelink,right,0.2,9,0.386720948289558
1,AE01,4,eyelink,right,0.2,9,1.32101721035199
1,AE01,4,eyelink,right,0.2,9,0.920728525207983
1,AE01,4,eyelink,left,0.2,9,0.400211073195611
1,AE01,4,eyelink,left,0.2,9,1.16503239313738
1,AE01,4,eyelink,left,0.2,9,0.948459118802424
1,AE01,4,adhawk,left,0.2,9,0.674792312041276
1,AE01,4,adhawk,left,0.2,9,0.200878365248366
1,AE01,6,adhawk,left,0.1,9,0.15303450451214
1,AE01,8,eyelink,right,0.2,9,0.337402762644339
1,AE01,8,eyelink,right,0.2,9,0.468822045397395
1,AE01,8,eyelink,right,0.2,9,0.320472122860772
1,AE01,8,eyelink,right,0.2,9,2.94399947450878
1,AE01,8,eyelink,right,0.2,9,0.191333928146951
1,AE01,8,eyelink,right,0.2,9,1.08141565474078
1,AE01,8,eyelink,right,0.2,9,1.20960105965456
1,AE01,8,eyelink,left,0.2,9,0.186497167041825
1,AE01,8,eyelink,left,0.2,9,0.361494780242516
1,AE01,8,eyelink,left,0.2,9,2.77360695825965
1,AE01,8,eyelink,left,0.2,9,0.697332248596021
1,AE01,8,eyelink,left,0.2,9,0.179814856912211
1,AE01,8,eyelink,left,0.2,9,1.06303992997755
1,AE01,8,adhawk,right,0.2,9,2.33665243613301
1,AE01,8,adhawk,left,0.2,9,0.257334827271118
1,AE01,9,eyelink,right,0.1,9,0.184018003959213
1,AE01,9,eyelink,right,0.1,9,0.386176792027904
1,AE01,9,eyelink,right,0.1,9,0.389589418408577
1,AE01,9,eyelink,right,0.1,9,0.507321842530808
1,AE01,9,eyelink,right,0.1,9,0.428505945418366
1,AE01,9,eyelink,right,0.1,9,0.231308758160749
1,AE01,9,eyelink,left,0.1,9,0.194425044507622
1,AE01,9,eyelink,left,0.1,9,0.226049671769428
1,AE01,9,eyelink,left,0.1,9,0.377361742269176
1,AE01,9,eyelink,left,0.1,9,0.343952921055242
1,AE01,9,eyelink,left,0.1,9,0.350397772054553
1,AE01,11,adhawk,left,0.01,-9,0.243168124936755
1,AE01,11,adhawk,left,0.01,-9,0.25231699471998
1,AE01,12,eyelink,right,0.2,9,0.516444156490781
1,AE01,12,eyelink,right,0.2,9,0.346967596611702
1,AE01,12,eyelink,right,0.2,9,0.44284151126829
1,AE01,12,eyelink,right,0.2,9,0.172993348345665
1,AE01,12,eyelink,left,0.2,9,0.692172146070843
1,AE01,12,eyelink,left,0.2,9,0.399405254160219
1,AE01,12,eyelink,left,0.2,9,0.412783812611088
1,AE01,12,adhawk,right,0.2,9,0.277431126128898
1,AE01,13,eyelink,right,0.01,9,0.187471915820264
1,AE01,13,adhawk,left,0.01,9,0.303122951780572
1,AE01,13,adhawk,left,0.01,9,0.307823750089713
1,AE01,13,adhawk,left,0.01,9,0.362872977800949
1,AE01,14,eyelink,right,0.2,-9,0.481669418701157
1,AE01,14,eyelink,right,0.2,-9,0.836041238972188
1,AE01,14,eyelink,right,0.2,-9,0.262883346434591
1,AE01,14,eyelink,right,0.2,-9,0.732084767535836
1,AE01,14,eyelink,left,0.2,-9,0.12798713948285
1,AE01,14,eyelink,left,0.2,-9,0.49359994807064
1,AE01,14,eyelink,left,0.2,-9,0.566627650166106
1,AE01,14,eyelink,left,0.2,-9,0.654596002957055
1,AE01,14,adhawk,left,0.2,-9,0.489350447326451
1,AE01,15,eyelink,left,0.1,9,0.142332333480225
1,AE01,15,adhawk,left,0.1,9,0.458496056202508
1,AE01,15,adhawk,left,0.1,9,0.372934959037615
1,AE01,15,adhawk,left,0.1,9,0.240933627075881
1,AE01,15,adhawk,left,0.1,9,0.113493358306398
1,AE01,15,adhawk,left,0.1,9,0.184936423721749
1,AE01,16,eyelink,right,0.2,9,0.246510423254923
1,AE01,16,eyelink,right,0.2,9,0.182618536293917
1,AE01,16,eyelink,right,0.2,9,0.38020572858063
1,AE01,16,eyelink,right,0.2,9,0.82341726118766
1,AE01,16,eyelink,right,0.2,9,0.772033611331923
1,AE01,16,eyelink,left,0.2,9,0.682582212836261
1,AE01,16,eyelink,left,0.2,9,0.559921360867361
1,AE01,16,adhawk,right,0.2,9,0.493492662447448
1,AE01,16,adhawk,left,0.2,9,0.351723220607346
1,AE01,16,adhawk,left,0.2,9,0.500297760458136
1,AE01,16,adhawk,left,0.2,9,0.257901232911187
1,AE01,16,adhawk,left,0.2,9,0.274414925009245
1,AE01,16,adhawk,left,0.2,9,1.13970345482669
1,AE01,16,adhawk,left,0.2,9,0.259472957248615
1,AE01,16,adhawk,left,0.2,9,0.264519560047258
1,AE01,16,adhawk,left,0.2,9,0.373638764949181
1,AE01,17,eyelink,right,0.1,9,2.41688271435954
1,AE01,17,eyelink,right,0.1,9,3.10086956850763
1,AE01,17,eyelink,left,0.1,9,1.53914436455448
1,AE01,17,eyelink,left,0.1,9,2.31605296216844
1,AE01,17,adhawk,right,0.1,9,0.20635812291196
1,AE01,17,adhawk,right,0.1,9,0.186860684937217
1,AE01,17,adhawk,right,0.1,9,0.250781950362863
1,AE01,17,adhawk,left,0.1,9,0.483720429884048
1,AE01,17,adhawk,left,0.1,9,0.231487956181084
1,AE01,17,adhawk,left,0.1,9,0.302656313084846
1,AE01,17,adhawk,left,0.1,9,0.287682148889731
1,AE01,17,adhawk,left,0.1,9,0.240917112452828
1,AE01,17,adhawk,left,0.1,9,0.322516440746771
1,AE01,17,adhawk,left,0.1,9,0.233400056900673
1,AE01,17,adhawk,left,0.1,9,0.298691434812854
1,AE01,17,adhawk,left,0.1,9,0.236643284934408
1,AE01,17,adhawk,left,0.1,9,0.292303916604038
1,AE01,17,adhawk,left,0.1,9,1.03969178538189
1,AE01,17,adhawk,left,0.1,9,0.859006267434026
1,AE01,17,adhawk,left,0.1,9,0.596152995975131
1,AE01,17,adhawk,left,0.1,9,0.287557074662771
1,AE01,17,adhawk,left,0.1,9,2.30389453038464
1,AE01,17,adhawk,left,0.1,9,0.380298678505647
1,AE01,17,adhawk,left,0.1,9,0.30813149336907
1,AE01,18,eyelink,left,0.1,9,0.193183938478596
1,AE01,18,adhawk,left,0.1,9,0.31018616279105
1,AE01,18,adhawk,left,0.1,9,0.694703830206972
1,AE01,18,adhawk,left,0.1,9,0.791096574112943
1,AE01,18,adhawk,left,0.1,9,0.635896904156517
1,AE01,18,adhawk,left,0.1,9,0.179025582423793
1,AE01,18,adhawk,left,0.1,9,0.209185832037896
1,AE01,18,adhawk,left,0.1,9,0.269990577500913
1,AE01,19,eyelink,right,0.2,-9,0.434083569882626
1,AE01,19,eyelink,right,0.2,-9,0.688393173686767
1,AE01,19,eyelink,right,0.2,-9,0.517586442447211
1,AE01,19,eyelink,right,0.2,-9,0.187047261206256
1,AE01,19,eyelink,right,0.2,-9,0.572714255595586
1,AE01,19,eyelink,right,0.2,-9,0.274361277765123
1,AE01,19,eyelink,right,0.2,-9,0.36278695090885
1,AE01,19,eyelink,right,0.2,-9,0.611462500698421
1,AE01,19,eyelink,left,0.2,-9,0.168352813636227
1,AE01,19,eyelink,left,0.2,-9,0.563654578014266
1,AE01,19,eyelink,left,0.2,-9,0.353072463465959
1,AE01,19,eyelink,left,0.2,-9,0.765774728690122
1,AE01,19,eyelink,left,0.2,-9,0.19317387785173
1,AE01,19,eyelink,left,0.2,-9,0.70592958031971
1,AE01,19,eyelink,left,0.2,-9,0.463845657169836
1,AE01,19,adhawk,right,0.2,-9,0.139141122728366
1,AE01,19,adhawk,left,0.2,-9,0.1746355222302
1,AE01,19,adhawk,left,0.2,-9,0.290771219463906
1,AE01,19,adhawk,left,0.2,-9,0.43970104620746
1,AE01,19,adhawk,left,0.2,-9,0.322983574841045
1,AE01,19,adhawk,left,0.2,-9,0.24383118919121
1,AE01,19,adhawk,left,0.2,-9,0.420565403270304
1,AE01,19,adhawk,left,0.2,-9,0.230963270073206
1,AE01,19,adhawk,left,0.2,-9,0.279554334319574
1,AE01,19,adhawk,left,0.2,-9,0.195985783657775
1,AE01,20,adhawk,left,0.01,-9,0.469523217714782
1,AE01,20,adhawk,left,0.01,-9,0.285082106698522
1,AE01,20,adhawk,left,0.01,-9,0.287500587477915
1,AE01,20,adhawk,left,0.01,-9,0.329935088841714
1,AE01,20,adhawk,left,0.01,-9,0.340326157693335
1,AE01,20,adhawk,left,0.01,-9,0.572804543498881
1,AE01,20,adhawk,left,0.01,-9,0.289593067819041
1,AE01,20,adhawk,left,0.01,-9,0.35017432818979
1,AE01,20,adhawk,left,0.01,-9,0.667558725187678
1,AE01,20,adhawk,left,0.01,-9,0.253723544744569
1,AE01,20,adhawk,left,0.01,-9,0.792659492651103
1,AE01,20,adhawk,left,0.01,-9,0.78105282091105
1,AE01,20,adhawk,left,0.01,-9,0.562680910791251
1,AE01,20,adhawk,left,0.01,-9,0.687102940266131
1,AE01,20,adhawk,left,0.01,-9,0.201630607814517
1,AE01,20,adhawk,left,0.01,-9,0.323533598327497
1,AE01,20,adhawk,left,0.01,-9,0.2326582522944
1,AE01,20,adhawk,left,0.01,-9,0.251495795708374
1,AE01,20,adhawk,left,0.01,-9,0.158141608250519
1,AE01,20,adhawk,left,0.01,-9,0.440389073501033
1,AE01,20,adhawk,left,0.01,-9,0.457638675064716
1,AE01,21,adhawk,left,0.01,-9,0.164616345980849
1,AE01,21,adhawk,left,0.01,-9,0.263202229996025
1,AE01,21,adhawk,left,0.01,-9,0.339386008281963
1,AE01,21,adhawk,left,0.01,-9,0.305439832835013
1,AE01,21,adhawk,left,0.01,-9,0.290263358898457
1,AE01,21,adhawk,left,0.01,-9,0.344389512637454
1,AE01,21,adhawk,left,0.01,-9,0.594759768920388
1,AE01,21,adhawk,left,0.01,-9,0.238708382867005
1,AE01,21,adhawk,left,0.01,-9,0.216222998336682
1,AE01,21,adhawk,left,0.01,-9,0.245490425235057
1,AE01,22,eyelink,right,0.2,-9,0.665911410547267
1,AE01,22,eyelink,right,0.2,-9,0.778253644838506
1,AE01,22,eyelink,right,0.2,-9,0.184690597547547
1,AE01,22,eyelink,left,0.2,-9,0.156559809365598
1,AE01,22,eyelink,left,0.2,-9,0.683191354383039
1,AE01,22,adhawk,left,0.2,-9,0.383458997190051
1,AE01,22,adhawk,left,0.2,-9,0.28790974257816
1,AE01,22,adhawk,left,0.2,-9,0.294154148444511
1,AE01,22,adhawk,left,0.2,-9,0.774230876806699
1,AE01,22,adhawk,left,0.2,-9,0.240193184107303
1,AE01,22,adhawk,left,0.2,-9,0.389995555016273
1,AE01,22,adhawk,left,0.2,-9,0.326176175938124
1,AE01,22,adhawk,left,0.2,-9,0.646155129056517
1,AE01,23,adhawk,left,0.01,9,0.373380606216516
1,AE01,23,adhawk,left,0.01,9,0.11478046240635
1,AE01,23,adhawk,left,0.01,9,0.334486781618462
1,AE01,23,adhawk,left,0.01,9,0.369790600841595
1,AE01,24,eyelink,right,0.01,9,1.88936080866046
1,AE01,24,eyelink,right,0.01,9,2.9249710874423
1,AE01,24,eyelink,left,0.01,9,0.317439961602312
1,AE01,24,adhawk,right,0.01,9,0.186631300129098
1,AE01,24,adhawk,right,0.01,9,2.12012980000047
1,AE01,24,adhawk,right,0.01,9,0.151834577988605
1,AE01,24,adhawk,left,0.01,9,0.331783555366779
1,AE01,24,adhawk,left,0.01,9,2.40113221863416
1,AE01,24,adhawk,left,0.01,9,0.456737723718314
1,AE01,24,adhawk,left,0.01,9,0.351970352521072
1,AE01,25,eyelink,right,0.1,-9,0.183120596604335
1,AE01,25,adhawk,left,0.1,-9,0.383764835412062
1,AE01,25,adhawk,left,0.1,-9,0.338673764256459
1,AE01,25,adhawk,left,0.1,-9,0.206021619562954
1,AE01,25,adhawk,left,0.1,-9,0.363290976881093
1,AE01,25,adhawk,left,0.1,-9,0.372288993444652
1,AE01,25,adhawk,left,0.1,-9,0.222936486439831
1,AE01,25,adhawk,left,0.1,-9,0.299084933702165
1,AE01,25,adhawk,left,0.1,-9,0.316133294701114
1,AE01,26,adhawk,left,0.01,-9,0.274033041212583
1,AE01,26,adhawk,left,0.01,-9,0.300251763326409
1,AE01,26,adhawk,left,0.01,-9,0.719032286419084
1,AE01,26,adhawk,left,0.01,-9,0.230890826102964
1,AE01,26,adhawk,left,0.01,-9,0.544170144494693
1,AE01,26,adhawk,left,0.01,-9,0.29617524293406
1,AE01,26,adhawk,left,0.01,-9,0.387316689749237
1,AE01,26,adhawk,left,0.01,-9,0.396011849805756
1,AE01,26,adhawk,left,0.01,-9,0.28677218102324
1,AE01,26,adhawk,left,0.01,-9,0.598250714803184
1,AE01,26,adhawk,left,0.01,-9,0.817514838988904
1,AE01,26,adhawk,left,0.01,-9,0.255128288873641
1,AE01,26,adhawk,left,0.01,-9,0.812027586252821
1,AE01,26,adhawk,left,0.01,-9,0.237984384518217
1,AE01,26,adhawk,left,0.01,-9,0.468419310792267
1,AE01,26,adhawk,left,0.01,-9,0.275916238573441
1,AE01,26,adhawk,left,0.01,-9,0.215891833485927
1,AE01,26,adhawk,left,0.01,-9,0.438379558905183
1,AE01,26,adhawk,left,0.01,-9,0.54910939809913
1,AE01,27,eyelink,right,0.2,-9,0.471758293792687
1,AE01,27,eyelink,right,0.2,-9,0.667309656669055
1,AE01,27,eyelink,right,0.2,-9,0.624622391229412
1,AE01,27,eyelink,right,0.2,-9,0.351778823303215
1,AE01,27,eyelink,right,0.2,-9,0.40026453722636
1,AE01,27,eyelink,right,0.2,-9,0.449059113861032
1,AE01,27,eyelink,left,0.2,-9,0.376180944346947
1,AE01,27,eyelink,left,0.2,-9,0.401343860735508
1,AE01,27,eyelink,left,0.2,-9,0.302070904022095
1,AE01,27,eyelink,left,0.2,-9,0.694803336656189
1,AE01,27,eyelink,left,0.2,-9,0.436165202507237
1,AE01,27,eyelink,left,0.2,-9,0.179822053984565
1,AE01,27,adhawk,left,0.2,-9,0.342539131642134
1,AE01,27,adhawk,left,0.2,-9,0.379014565571755
1,AE01,27,adhawk,left,0.2,-9,0.489011656957516
1,AE01,27,adhawk,left,0.2,-9,0.258878332359227
1,AE01,27,adhawk,left,0.2,-9,0.256515525596075
1,AE01,27,adhawk,left,0.2,-9,0.530456102786538
1,AE01,27,adhawk,left,0.2,-9,0.916526402512869
1,AE01,27,adhawk,left,0.2,-9,0.26250513387083
1,AE01,27,adhawk,left,0.2,-9,0.823125338304685
1,AE01,27,adhawk,left,0.2,-9,0.174892465758148
1,AE01,27,adhawk,left,0.2,-9,0.338267193242958
1,AE01,27,adhawk,left,0.2,-9,0.239717427267745
1,AE01,27,adhawk,left,0.2,-9,0.322988559894178
1,AE01,27,adhawk,left,0.2,-9,0.491385253915101
1,AE01,27,adhawk,left,0.2,-9,0.339366809533112
1,AE01,27,adhawk,left,0.2,-9,0.197122400242757
1,AE01,27,adhawk,left,0.2,-9,0.300087969954008
1,AE01,27,adhawk,left,0.2,-9,0.286685721132482
1,AE01,28,eyelink,right,0.1,-9,0.95433881085674
1,AE01,28,eyelink,right,0.1,-9,0.836581896778068
1,AE01,28,eyelink,right,0.1,-9,0.505224371899631
1,AE01,28,eyelink,right,0.1,-9,0.231793939377932
1,AE01,28,eyelink,right,0.1,-9,0.458142861481113
1,AE01,28,eyelink,right,0.1,-9,0.156029678973745
1,AE01,28,eyelink,right,0.1,-9,0.320295450192911
1,AE01,28,eyelink,left,0.1,-9,1.41998770802053
1,AE01,28,eyelink,left,0.1,-9,4.09841391106602
1,AE01,28,eyelink,left,0.1,-9,1.44436986599084
1,AE01,28,eyelink,left,0.1,-9,0.171204184399813
1,AE01,28,adhawk,right,0.1,-9,1.50521661771671
1,AE01,28,adhawk,right,0.1,-9,0.210079294292749
1,AE01,28,adhawk,right,0.1,-9,0.724583436917762
1,AE01,28,adhawk,left,0.1,-9,2.63276612723966
1,AE01,28,adhawk,left,0.1,-9,2.16715639646944
1,AE01,28,adhawk,left,0.1,-9,0.221030172085378
1,AE01,28,adhawk,left,0.1,-9,1.16214820168892
1,AE01,28,adhawk,left,0.1,-9,1.33529731733495
1,AE01,28,adhawk,left,0.1,-9,0.337967641121661
1,AE01,28,adhawk,left,0.1,-9,0.286113281081871
1,AE01,28,adhawk,left,0.1,-9,0.153245333629719
1,AE01,28,adhawk,left,0.1,-9,0.7121193224203
