subject,eye,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE01,right,5,0.54982776,0.577933708,0.443562816,1.051117732,0.806730485
AE01,right,7,-0.54982776,-0.473462838,-0.36363041,0.861111192,0.661353311
AE01,right,10,0.54982776,0.559550116,0.481518391,1.017682548,0.87576224
AE01,right,11,-0.54982776,-0.501889424,-0.491981776,0.912812084,0.894792536
AE01,right,13,0.54982776,0.605846795,0.391583015,1.101884697,0.71219215
AE01,right,20,-0.54982776,-0.425410228,-0.334073066,0.773715441,0.607595851
AE01,right,21,-0.54982776,-0.520804835,-0.392373539,0.947214514,0.713629917
AE01,right,23,0.54982776,0.501356776,0.301965442,0.91184333,0.549200066
AE01,right,26,-0.54982776,-0.330248126,-0.182820333,0.600639237,0.332504734
AE01,left,5,0.54982776,0.471739216,0.368456296,0.857976353,0.670130398
AE01,left,7,-0.54982776,-0.533396509,-0.363407922,0.97011564,0.660948661
AE01,left,10,0.54982776,0.480005287,0.367233127,0.87301028,0.667905759
AE01,left,11,-0.54982776,-0.466809172,-0.309851111,0.849009827,0.563542137
AE01,left,13,0.54982776,0.600407886,0.391488215,1.091992673,0.712019732
AE01,left,20,-0.54982776,-0.455967722,-0.19483998,0.829291926,0.354365483
AE01,left,21,-0.54982776,-0.540924182,-0.227124763,0.983806605,0.413083477
AE01,left,23,0.54982776,0.543322175,0.342971025,0.988167958,0.623779027
AE01,left,26,-0.54982776,-0.615636264,-0.18670054,1.119689307,0.339561866
AE02,left,26,-0.54982776,-0.579120954,-0.287391523,1.053277037,0.52269373
AE03,right,5,0.54982776,0.443040682,0.249398916,0.805780855,0.453594624
AE03,right,7,-0.54982776,-0.523398936,-0.314840276,0.951932539,0.572616188
AE03,right,10,0.54982776,0.280093739,0.091794459,0.509420875,0.166951299
AE03,right,13,0.54982776,0.565535359,0.703459793,1.028568216,1.279418472
AE03,right,20,-0.54982776,-0.471602298,-0.45423591,0.857727331,0.826142189
AE03,right,21,-0.54982776,-0.51118633,-0.487511019,0.929720845,0.886661341
AE03,right,23,0.54982776,0.612403198,0.694235447,1.113809163,1.26264168
AE03,right,24,0.54982776,0.614474355,0.701129476,1.117576083,1.275180204
AE03,left,5,0.54982776,0.513682638,0.650945552,0.934261008,1.183908123
AE03,left,7,-0.54982776,-0.516550816,-0.69290121,0.939477511,1.260215034
