subject,eye,trial,frequency,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain,
AE01,right,1,0.2,-10.86589256,-10.03253464,-8.805107797,0.923305157,0.81034372,0.112961438
AE01,right,2,0.1,4.991766146,4.649739295,4.076128294,0.931481796,0.816570363,0.114911433
AE01,right,3,0.1,4.991766146,4.898081389,4.440527111,0.981232142,0.889570341,0.091661802
AE01,right,4,0.2,10.86589256,9.283723144,7.897758351,0.854391215,0.726839356,0.127551859
AE01,right,5,0.01,-0.564152503,-0.531136684,-0.527568556,0.941477138,0.935152379,0.006324759
AE01,right,6,0.1,-4.991766146,-4.375792978,-4.127118699,0.876602158,0.826785266,0.049816893
AE01,right,7,0.01,0.564152503,0.454872201,0.292254361,0.806292976,0.518041415,0.288251561
AE01,right,9,0.1,-4.991766146,-4.932834223,-4.483173127,0.988194174,0.898113613,0.090080561
AE01,right,10,0.01,-0.564152503,-0.476033545,-0.571805304,0.843802946,1.013565128,-0.169762182
AE01,right,11,0.01,0.564152503,0.425843483,0.488771896,0.754837532,0.86638257,-0.111545038
AE01,right,12,0.2,10.86589256,9.513433098,9.209008641,0.875531673,0.847515157,0.028016516
AE01,right,15,0.1,-4.991766146,-4.936815689,-4.129127801,0.988991781,0.827187749,0.161804032
AE01,right,18,0.1,-4.991766146,-4.609736591,-3.999205287,0.923468058,0.801160385,0.122307674
AE01,right,19,0.2,-10.86589256,-9.25130364,-8.221350508,0.851407612,0.756619897,0.094787715
AE01,right,22,0.2,-10.86589256,-9.502681067,-8.448611143,0.874542152,0.777534942,0.09700721
AE01,right,25,0.1,4.991766146,4.654068331,4.132803091,0.932349031,0.827924019,0.104425012
AE01,right,26,0.01,0.564152503,0.510772934,0.433181597,0.905380957,0.767844855,0.137536103
AE01,right,27,0.2,-10.86589256,-9.731743014,-8.594063766,0.895622974,0.790921106,0.104701868
AE01,right,29,0.1,4.991766146,4.93230887,4.704746931,0.98808893,0.94250147,0.04558746
AE01,left,1,0.2,-10.86589256,-9.96120524,-8.222331057,0.916740634,0.756710138,0.160030497
AE01,left,2,0.1,4.991766146,4.464171419,3.006552675,0.894307002,0.602302389,0.292004613
AE01,left,6,0.1,-4.991766146,-4.26635282,-3.927705622,0.854678023,0.786836865,0.067841158
AE01,left,10,0.01,-0.564152503,-0.449501382,-0.548971502,0.796772822,0.973090606,-0.176317785
AE01,left,11,0.01,0.564152503,0.439852833,0.378457457,0.77967009,0.670842466,0.108827624
AE01,left,15,0.1,-4.991766146,-4.73308075,-3.570128561,0.948177581,0.715203488,0.232974093
AE01,left,18,0.1,-4.991766146,-4.623772687,-3.292102558,0.926279908,0.659506568,0.266773341
AE02,right,1,0.2,-10.86589256,-10.76772942,-10.03857392,0.990965938,0.923860958,0.06710498
AE02,right,2,0.1,4.991766146,4.768974785,4.102776875,0.95536823,0.821908871,0.133459359
AE02,right,12,0.2,10.86589256,10.6180058,9.283698231,0.977186709,0.854388922,0.122797788
AE02,left,3,0.1,4.991766146,4.968596912,4.134722784,0.99535851,0.828308591,0.167049918
AE02,left,22,0.2,-10.86589256,-10.23727829,-6.563302188,0.942147939,0.604027893,0.338120047
AE02,left,25,0.1,4.991766146,4.946453939,3.841155525,0.99092261,0.769498292,0.221424318
AE02,left,27,0.2,-10.86589256,-10.12817561,-7.324623359,0.932107101,0.674093114,0.258013986
AE03,right,2,0.1,4.991766146,4.854110439,4.597894861,0.972423446,0.921095806,0.05132764
