subject,eye,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE07,right,23,0.54982776,0.304854728,0.354143074,0.554454958,0.644098206
AE07,right,24,0.54982776,0.315611482,0.372401901,0.57401882,0.677306472
AE07,left,23,0.54982776,0.410137045,0.590084216,0.745937318,1.073216485
AE07,left,24,0.54982776,0.338558715,0.237131199,0.615754131,0.431282697
AE08,right,3,-0.54982776,-0.477853668,-0.398458273,0.869097021,0.724696536
AE08,right,4,0.54982776,0.265066065,0.210916428,0.482089272,0.383604546
AE08,right,8,0.54982776,0.426271566,0.348661443,0.775282001,0.634128481
AE08,right,12,-0.54982776,-0.444184135,-0.366335828,0.80786051,0.666273794
AE08,right,21,-0.54982776,-0.405071063,-0.340983902,0.736723557,0.620164943
AE08,right,23,0.54982776,0.339057278,0.349045205,0.616660893,0.63482645
AE08,left,3,-0.54982776,-0.628387287,-0.596883606,1.142880249,1.085582885
AE08,left,4,0.54982776,0.308030805,0.244811486,0.560231452,0.445251228
AE08,left,8,0.54982776,0.358886603,0.254388728,0.652725505,0.462669851
AE08,left,12,-0.54982776,-0.479873548,-0.398785806,0.872770681,0.725292236
AE08,left,21,-0.54982776,-0.390586242,-0.348735167,0.710379269,0.634262568
AE08,left,23,0.54982776,0.375402069,0.349164281,0.682763033,0.63504302
AE09,right,3,-0.54982776,-0.506873656,-0.284645973,0.921877163,0.517700258
AE09,right,4,0.54982776,0.452109689,0.407610989,0.822275122,0.74134305
AE09,right,7,0.54982776,0.712860064,0.602328678,1.296515229,1.095486117
AE09,right,12,-0.54982776,-0.481352338,-0.399725774,0.87546023,0.727001804
AE09,right,23,0.54982776,0.377561188,0.292704479,0.686689933,0.532356677
AE09,right,24,0.54982776,0.339733343,0.512923137,0.617890487,0.932879665
AE09,right,26,-0.54982776,-0.518834945,-0.347990655,0.943631775,0.632908486
AE09,left,3,-0.54982776,-0.514922673,-0.34856897,0.936516324,0.633960296
AE09,left,4,0.54982776,0.450651216,0.404022597,0.819622522,0.734816658
AE09,left,7,0.54982776,0.723769457,0.694356742,1.316356701,1.262862286
AE09,left,12,-0.54982776,-0.444224239,-0.344019895,0.807933449,0.625686661
AE09,left,23,0.54982776,0.413098793,0.235573727,0.751324001,0.428450042
AE09,left,24,0.54982776,0.322513176,0.464230157,0.586571286,0.844319241
AE09,left,26,-0.54982776,-0.47744243,-0.43451607,0.86834908,0.790276703
AE10,right,4,0.54982776,0.300020995,0.333693563,0.5456636,0.606905629
AE10,right,8,0.54982776,0.321485886,0.463284948,0.5847029,0.84260014
AE10,right,23,0.54982776,0.309904848,0.465100402,0.56363987,0.845902
AE10,left,4,0.54982776,0.273585571,0.366287531,0.497584136,0.666185955
AE10,left,8,0.54982776,0.342312062,0.428832445,0.622580537,0.779939603
AE10,left,23,0.54982776,0.255111541,0.50654314,0.463984467,0.921276038
AE11,right,3,-0.54982776,-0.550945225,-0.614956708,1.002032391,1.118453363
AE11,right,4,0.54982776,0.472147624,0.343273592,0.858719144,0.624329321
AE11,right,7,0.54982776,0.488610814,0.10586821,0.888661594,0.192547954
AE11,right,8,0.54982776,0.432592299,0.207876561,0.786777843,0.378075784
AE11,right,9,-0.54982776,-0.390841676,-0.496451279,0.71084384,0.902921451
AE11,right,12,-0.54982776,-0.364982689,-0.391128015,0.663812772,0.711364618
AE11,right,23,0.54982776,0.36437,0.163314245,0.662698442,0.297028009
AE11,right,26,-0.54982776,-0.388944579,-0.201716381,0.707393491,0.366871947
AE11,left,3,-0.54982776,-0.41617555,-0.51544432,0.756919858,0.937465071
AE11,left,4,0.54982776,0.437041809,0.38220441,0.794870396,0.695134799
AE11,left,8,0.54982776,0.473144793,0.289294664,0.860532747,0.52615507
AE11,left,9,-0.54982776,-0.234861543,-0.359598314,0.427154756,0.654019931
AE11,left,12,-0.54982776,-0.25556788,-0.372185391,0.464814436,0.676912696
AE11,left,23,0.54982776,0.459999992,0.293188195,0.836625623,0.533236435
AE11,left,24,0.54982776,0.326869195,0.479781056,0.594493801,0.87260246
AE11,left,26,-0.54982776,-0.339318833,-0.188226621,0.617136598,0.342337427
AE12,right,3,-0.54982776,-0.420813502,-0.040911076,0.76535514,0.074407077
AE12,right,12,-0.54982776,-0.454043268,-0.260223201,0.825791822,0.473281308
AE12,right,23,0.54982776,0.23736229,0.203590323,0.431702994,0.370280182
AE12,left,12,-0.54982776,-0.421647585,-0.532083527,0.766872128,0.967727651
AE12,left,23,0.54982776,0.485852587,0.208018091,0.883645065,0.378333191
AE13,right,3,-0.54982776,-0.36448013,-0.24222494,0.662898741,0.440546945
AE13,right,4,0.54982776,0.584317799,0.268587375,1.062728805,0.48849366
AE13,right,8,0.54982776,0.387424905,0.290583948,0.704629581,0.528499957
AE13,right,9,-0.54982776,-0.38323581,-0.230202632,0.69701066,0.418681356
AE13,right,12,-0.54982776,-0.37652236,-0.462694734,0.684800563,0.841526688
AE13,right,21,-0.54982776,-0.252649037,-0.717690602,0.459505785,1.305300775
AE13,right,23,0.54982776,0.521131424,0.145318307,0.947808498,0.264297872
AE13,right,24,0.54982776,0.314835351,0.334849815,0.57260723,0.609008564
AE13,right,26,-0.54982776,-0.260354528,-0.628571726,0.473520159,1.143215696
AE13,left,3,-0.54982776,-0.449820042,-0.197482332,0.818110825,0.359171265
AE13,left,4,0.54982776,0.4988811,0.154749903,0.907340692,0.281451601
AE13,left,8,0.54982776,0.325061095,0.155363563,0.591205316,0.282567695
AE13,left,9,-0.54982776,-0.391181594,-0.160359105,0.711462066,0.291653344
AE13,left,12,-0.54982776,-0.457112202,-0.156376957,0.83137345,0.284410808
AE13,left,21,-0.54982776,-0.217714999,-0.307555836,0.395969457,0.559367602
AE13,left,23,0.54982776,0.437044792,0.093242503,0.79487582,0.169584932
AE13,left,24,0.54982776,0.266127701,0.165297916,0.484020124,0.300635814
AE13,left,26,-0.54982776,-0.233042023,-0.301921462,0.423845502,0.549120076
AE01,right,3,-0.54982776,-0.372387432,-0.078625642,0.677280157,0.143000495
AE01,right,7,0.54982776,0.493557004,0.211074514,0.897657485,0.383892064
AE01,right,8,0.54982776,0.147619823,0.257939455,0.268483757,0.46912774
AE01,right,9,-0.54982776,-0.222052929,-0.101814155,0.403859071,0.185174636
AE01,right,12,-0.54982776,-0.336461004,-0.245220809,0.611938916,0.445995686
AE01,right,21,-0.54982776,-0.39555721,-0.12475699,0.719420224,0.226901949
AE01,right,23,0.54982776,0.40960823,0.199275532,0.744975535,0.36243265
AE01,right,24,0.54982776,0.39535676,0.196618035,0.719055655,0.357599323
AE01,right,26,-0.54982776,-0.279065263,-0.267866437,0.507550333,0.487182453
AE01,left,4,0.54982776,0.325361733,0.379029588,0.591752102,0.689360589
AE01,left,7,0.54982776,0.469631262,0.452381977,0.854142507,0.822770346
AE01,left,8,0.54982776,0.185614781,0.902811919,0.33758714,1.641990428
AE01,left,9,-0.54982776,-0.376082163,-1.01538275,0.683999955,1.846728782
AE01,left,12,-0.54982776,-0.451928558,-0.62461558,0.82194569,1.136020451
AE01,left,21,-0.54982776,-0.486678577,-0.556510516,0.885147335,1.012154271
AE01,left,23,0.54982776,0.446198207,0.424569352,0.811523606,0.772186097
AE01,left,24,0.54982776,0.470242266,0.129189439,0.855253772,0.23496347
