subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE07,right,1,0.1,0.098983353,0.106908343,0.98983353,1.069083434,9,5.799754292,4.92551276,0.644417144,0.547279196
AE07,right,2,0.2,0.193387346,0.192424493,0.966936731,0.962122463,9,5.652700882,5.999813422,0.628077876,0.666645936
AE07,right,5,0.2,0.205616251,0.190169757,1.028081253,0.950848783,9,5.79964777,5.980006793,0.644405308,0.664445199
AE07,right,6,0.2,0.199575297,0.202970663,0.997876482,1.014853313,9,5.166202193,3.926612793,0.574022466,0.43629031
AE07,right,10,0.2,0.20377036,0.202692997,1.018851801,1.013464984,9,5.407861067,5.050320919,0.600873452,0.561146769
AE07,right,13,0.1,0.10265051,0.100022738,1.0265051,1.000227383,9,4.970177581,6.048161904,0.552241954,0.672017989
AE07,right,16,0.1,0.109707688,0.126634581,1.097076876,1.266345813,9,4.147587359,4.786549411,0.46084304,0.531838824
AE07,right,17,0.1,0.097893382,0.102428917,0.978933817,1.024289173,9,4.376734529,8.341980899,0.486303837,0.926886767
AE07,right,18,0.1,0.097485559,0.103823743,0.974855588,1.038237425,9,6.277667047,2.672352962,0.697518561,0.296928107
AE07,right,19,0.1,0.097080805,0.128149325,0.970808045,1.281493254,9,5.884739313,3.305291586,0.653859924,0.367254621
AE07,right,20,0.2,0.203070854,0.182692674,1.01535427,0.913463371,9,5.629852192,6.04119443,0.625539132,0.671243826
AE07,right,25,0.2,0.199281568,0.183705254,0.996407837,0.918526272,9,5.18722955,5.144107433,0.576358839,0.571567493
AE07,right,27,0.2,0.18868631,0.205530417,0.943431548,1.027652087,9,5.355669809,4.894696788,0.595074423,0.543855199
AE07,right,29,0.2,0.195975396,0.110935142,0.979876978,0.554675709,9,5.593035355,7.116731597,0.621448373,0.790747955
AE07,right,30,0.2,0.200874179,0.220482614,1.004370893,1.102413068,9,5.45947554,4.076781263,0.606608393,0.452975696
AE07,left,1,0.1,0.098407249,0.107512481,0.984072493,1.075124809,9,5.727743925,5.04085324,0.636415992,0.560094805
AE07,left,2,0.2,0.191333723,0.18119247,0.956668614,0.905962351,9,5.835803267,6.359742246,0.648422585,0.706638027
AE07,left,5,0.2,0.205457767,0.188951025,1.027288833,0.944755127,9,5.895179664,6.403187279,0.655019963,0.711465253
